row_type,mode,transition,osqp_status,max_abs_tau_full_wbc,max_abs_tau_contact_wbc,tau_diff_norm_vs_contact_wbc,tau_diff_max_abs_vs_contact_wbc,dyn_res_norm,stance_acc_res_norm,swing_acc_error_norm,jump_norm,jump_max_abs,need_smoothing,torque_limit,torque_limit_pass,pass,FR_tau_hip,FR_tau_thigh,FR_tau_calf,FL_tau_hip,FL_tau_thigh,FL_tau_calf,RR_tau_hip,RR_tau_thigh,RR_tau_calf,RL_tau_hip,RL_tau_thigh,RL_tau_calf
mode,trot_FR_RL,,solved,10.545880364253,10.638319002741,1.390773536447,0.732158458909,4.281617822997e-14,1.152775633689e-16,1.227426649713e-01,,,,23.7,True,True,4.369987321031,0.188812152661,10.309950974334,0.732158458909,0.345695728393,-0.275088527818,-0.724049429931,0.343130966234,-0.276122668083,-4.450414899465,0.425967933067,10.545880364253
mode,trot_FL_RR,,solved,10.480313206115,10.594245657447,1.375153606606,0.729723929991,4.286630305818e-14,1.083889877283e-16,1.218506194838e-01,,,,23.7,True,True,-0.729723929991,0.345038486206,-0.274039088614,-4.469667449509,0.145873868360,10.330541351557,4.359310469974,0.381529280766,10.480313206115,0.725977218712,0.342602821577,-0.277132077001
transition,,trot_FR_RL->trot_FL_RR,,,,,,,,,23.730004894309,10.823012441254,True,23.7,,False,,,,,,,,,,,,
transition,,trot_FL_RR->trot_FR_RL,,,,,,,,,23.730004894309,10.823012441254,True,23.7,,False,,,,,,,,,,,,
