direction,topic,baseline_signal,found_in_source,ros_type,type_expr,source_file,schema_available,schema_field_count,schema_file,schema_error
publish,/go1/joint_states,joint_state_feedback,True,sensor_msgs/msg/JointState,JointState,ros2_ws/src/robot_mpc_wbc_bridge/robot_mpc_wbc_bridge/mujoco_bridge_node.py,True,9,results/logs_sample/stage09_topic_schemas/sensor_msgs__msg__JointState.txt,
publish,/go1/base_state,floating_base_state,True,std_msgs/msg/Float64MultiArray,Float64MultiArray,ros2_ws/src/robot_mpc_wbc_bridge/robot_mpc_wbc_bridge/mujoco_bridge_node.py,True,7,results/logs_sample/stage09_topic_schemas/std_msgs__msg__Float64MultiArray.txt,
publish,/go1/imu,imu_feedback,True,sensor_msgs/msg/Imu,Imu,ros2_ws/src/robot_mpc_wbc_bridge/robot_mpc_wbc_bridge/mujoco_bridge_node.py,True,21,results/logs_sample/stage09_topic_schemas/sensor_msgs__msg__Imu.txt,
publish,/go1/foot_contacts,contact_state_feedback,True,std_msgs/msg/Int32MultiArray,Int32MultiArray,ros2_ws/src/robot_mpc_wbc_bridge/robot_mpc_wbc_bridge/mujoco_bridge_node.py,True,7,results/logs_sample/stage09_topic_schemas/std_msgs__msg__Int32MultiArray.txt,
publish,/go1/sim_time,simulation_time,True,std_msgs/msg/Float64,Float64,ros2_ws/src/robot_mpc_wbc_bridge/robot_mpc_wbc_bridge/mujoco_bridge_node.py,True,1,results/logs_sample/stage09_topic_schemas/std_msgs__msg__Float64.txt,
subscribe,/go1/joint_torque_cmd,joint_torque_command,True,std_msgs/msg/Float64MultiArray,Float64MultiArray,ros2_ws/src/robot_mpc_wbc_bridge/robot_mpc_wbc_bridge/mujoco_bridge_node.py,True,7,results/logs_sample/stage09_topic_schemas/std_msgs__msg__Float64MultiArray.txt,
