perturbation_id,perturbation_type,perturb_x,perturb_y,perturb_yaw,scale,scale_tag,control_mode,returncode,ok,log_csv,summary_csv,stdout_tail,stderr_tail
y_plus,base_y,0.000000,0.020000,0.000000,0.010,0p010,mpc_assisted_candidate,0,True,results/logs_sample/stage21_2_local_perturb_y_plus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_y_plus_0p010_mpc_assisted_candidate_summary.csv,max_tau_total_abs=10.029039917490\nmax_cmd_step_jump_norm=25.852207287497\nmax_cmd_step_jump_abs=11.665902146812\nmax_dyn_res_norm=7.623725589763e-08\nmax_stance_acc_res_norm=3.365806567267e-09\nmax_swing_acc_error_norm=3.358615764685e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_y_plus_0p010_mpc_assisted_candidate_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_y_plus_0p010_mpc_assisted_candidate_summary.csv\n,
y_plus,base_y,0.000000,0.020000,0.000000,0.020,0p020,mpc_assisted_candidate,0,True,results/logs_sample/stage21_2_local_perturb_y_plus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_y_plus_0p020_mpc_assisted_candidate_summary.csv,\nmax_tau_total_abs=9.911885507920\nmax_cmd_step_jump_norm=25.698943821616\nmax_cmd_step_jump_abs=12.292247359315\nmax_dyn_res_norm=8.046255483204e-08\nmax_stance_acc_res_norm=3.854371946895e-09\nmax_swing_acc_error_norm=3.943663650839e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_y_plus_0p020_mpc_assisted_candidate_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_y_plus_0p020_mpc_assisted_candidate_summary.csv\n,
y_minus,base_y,0.000000,-0.020000,0.000000,0.000,0p000,baseline,0,True,results/logs_sample/stage21_2_local_perturb_y_minus_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_y_minus_0p000_baseline_summary.csv,tal_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_y_minus_0p000_baseline_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_y_minus_0p000_baseline_summary.csv\n,
y_minus,base_y,0.000000,-0.020000,0.000000,0.010,0p010,mpc_assisted_candidate,0,True,results/logs_sample/stage21_2_local_perturb_y_minus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_y_minus_0p010_mpc_assisted_candidate_summary.csv,x_tau_total_abs=10.029039917490\nmax_cmd_step_jump_norm=25.852207287497\nmax_cmd_step_jump_abs=11.665902146812\nmax_dyn_res_norm=7.623725589763e-08\nmax_stance_acc_res_norm=3.365806567267e-09\nmax_swing_acc_error_norm=3.358615764685e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_y_minus_0p010_mpc_assisted_candidate_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_y_minus_0p010_mpc_assisted_candidate_summary.csv\n,
y_minus,base_y,0.000000,-0.020000,0.000000,0.020,0p020,mpc_assisted_candidate,0,True,results/logs_sample/stage21_2_local_perturb_y_minus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_y_minus_0p020_mpc_assisted_candidate_summary.csv,ax_tau_total_abs=9.911885507920\nmax_cmd_step_jump_norm=25.698943821616\nmax_cmd_step_jump_abs=12.292247359315\nmax_dyn_res_norm=8.046255483204e-08\nmax_stance_acc_res_norm=3.854371946895e-09\nmax_swing_acc_error_norm=3.943663650839e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_y_minus_0p020_mpc_assisted_candidate_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_y_minus_0p020_mpc_assisted_candidate_summary.csv\n,
yaw_plus,base_yaw,0.000000,0.000000,0.030000,0.000,0p000,baseline,0,True,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p000_baseline_summary.csv,l_raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_yaw_plus_0p000_baseline_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_yaw_plus_0p000_baseline_summary.csv\n,
yaw_plus,base_yaw,0.000000,0.000000,0.030000,0.010,0p010,mpc_assisted_candidate,0,True,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p010_mpc_assisted_candidate_summary.csv,tau_total_abs=10.029039917490\nmax_cmd_step_jump_norm=25.852207287497\nmax_cmd_step_jump_abs=11.665902146812\nmax_dyn_res_norm=7.623725589763e-08\nmax_stance_acc_res_norm=3.365806567267e-09\nmax_swing_acc_error_norm=3.358615764685e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_yaw_plus_0p010_mpc_assisted_candidate_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_yaw_plus_0p010_mpc_assisted_candidate_summary.csv\n,
yaw_plus,base_yaw,0.000000,0.000000,0.030000,0.020,0p020,mpc_assisted_candidate,0,True,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_plus_0p020_mpc_assisted_candidate_summary.csv,_tau_total_abs=9.911885507920\nmax_cmd_step_jump_norm=25.698943821616\nmax_cmd_step_jump_abs=12.292247359315\nmax_dyn_res_norm=8.046255483204e-08\nmax_stance_acc_res_norm=3.854371946895e-09\nmax_swing_acc_error_norm=3.943663650839e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_yaw_plus_0p020_mpc_assisted_candidate_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_yaw_plus_0p020_mpc_assisted_candidate_summary.csv\n,
yaw_minus,base_yaw,0.000000,0.000000,-0.030000,0.000,0p000,baseline,0,True,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p000_baseline_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p000_baseline_summary.csv,raw_abs=9.659563043535\nmax_tau_total_abs=9.659563043535\nmax_cmd_step_jump_norm=25.788963931985\nmax_cmd_step_jump_abs=11.568156828496\nmax_dyn_res_norm=7.732488454756e-08\nmax_stance_acc_res_norm=3.520891005970e-09\nmax_swing_acc_error_norm=2.545718566371e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_yaw_minus_0p000_baseline_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_yaw_minus_0p000_baseline_summary.csv\n,
yaw_minus,base_yaw,0.000000,0.000000,-0.030000,0.010,0p010,mpc_assisted_candidate,0,True,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p010_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p010_mpc_assisted_candidate_summary.csv,u_total_abs=10.029039917490\nmax_cmd_step_jump_norm=25.852207287497\nmax_cmd_step_jump_abs=11.665902146812\nmax_dyn_res_norm=7.623725589763e-08\nmax_stance_acc_res_norm=3.365806567267e-09\nmax_swing_acc_error_norm=3.358615764685e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_yaw_minus_0p010_mpc_assisted_candidate_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_yaw_minus_0p010_mpc_assisted_candidate_summary.csv\n,
yaw_minus,base_yaw,0.000000,0.000000,-0.030000,0.020,0p020,mpc_assisted_candidate,0,True,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p020_mpc_assisted_candidate_log.csv,results/logs_sample/stage21_2_local_perturb_yaw_minus_0p020_mpc_assisted_candidate_summary.csv,au_total_abs=9.911885507920\nmax_cmd_step_jump_norm=25.698943821616\nmax_cmd_step_jump_abs=12.292247359315\nmax_dyn_res_norm=8.046255483204e-08\nmax_stance_acc_res_norm=3.854371946895e-09\nmax_swing_acc_error_norm=3.943663650839e-01\nqp_fail_steps=0\nsaturation_steps=0\npass=True\npass_margin=True\nsaved_log=results/logs_sample/stage21_2_local_perturb_yaw_minus_0p020_mpc_assisted_candidate_log.csv\nsaved_summary=results/logs_sample/stage21_2_local_perturb_yaw_minus_0p020_mpc_assisted_candidate_summary.csv\n,
