step,segment_i,segment_step,mode,time,osqp_status,base_z,roll,pitch,base_qdd_z,dyn_res_norm,stance_acc_res_norm,swing_acc_error_norm,tau_pd_max_abs,tau_wbc_max_abs,tau_total_max_abs,cmd_step_jump_norm,cmd_step_jump_abs,saturated
25,0,25,trot_FR_RL,0.052000000,solved,0.293069187593,0.014347636100,-0.012840047753,0.077128391041,6.907360422644e-08,2.597014431293e-09,8.850169588129e-02,11.452780337666,9.800924055403,5.316908156195,0.027998197385,0.016552342656,False
26,0,26,trot_FR_RL,0.054000000,solved,0.294234203443,0.012454753920,-0.012488478800,0.079221946290,7.120589041659e-08,2.662346680553e-09,9.289700257764e-02,9.675096449421,9.789222009727,4.774765566356,0.038409314523,0.019240771676,False
27,0,27,trot_FR_RL,0.056000000,solved,0.295311804159,0.015605134816,-0.012276614729,0.076925637116,6.907684581306e-08,2.607464443691e-09,9.668788778149e-02,12.497419856904,9.805808109264,6.360917251105,0.049243351140,0.027735271813,False
28,0,28,trot_FR_RL,0.058000000,solved,0.296441738206,0.013722651464,-0.012289394643,0.080978986453,7.209186540112e-08,2.705507363401e-09,9.607394459388e-02,11.586138867274,9.796995178972,7.148716166087,0.063541703245,0.045435517246,False
29,0,29,trot_FR_RL,0.060000000,solved,0.297584354063,0.016575738617,-0.012459966983,0.078332891863,7.023986754953e-08,2.671481976550e-09,9.979594396573e-02,7.920497263338,9.814040421954,5.965281414630,0.044544632565,0.030993233383,False
30,0,30,trot_FR_RL,0.062000000,solved,0.298843608262,0.016081867746,-0.011949682634,0.081847814322,7.100372908021e-08,2.683891107265e-09,1.006951750281e-01,9.742296921641,9.801907691967,4.655810626968,0.048742310877,0.029463130406,False
31,0,31,trot_FR_RL,0.064000000,solved,0.299987847412,0.017585264157,-0.012136392716,0.080396032317,7.079819367219e-08,2.698992454908e-09,1.035325848829e-01,13.866122430707,9.805513478401,5.827256756750,0.036939682835,0.026889167692,False
32,0,32,trot_FR_RL,0.066000000,solved,0.301249973986,0.017262554548,-0.011523756206,0.081468041140,7.144262504880e-08,2.674955607170e-09,9.963167792489e-02,7.100082247617,9.799801126756,6.419617727929,0.044759078155,0.025039519678,False
33,0,33,trot_FR_RL,0.068000000,solved,0.302454821533,0.018902996700,-0.011848217971,0.081577129452,7.104039780261e-08,2.671873127080e-09,1.044210401809e-01,9.761075819051,9.806007399698,5.664713074437,0.047870837196,0.036928035432,False
34,0,34,trot_FR_RL,0.070000000,solved,0.303681022489,0.019014669597,-0.011381521323,0.083628032113,7.081392471076e-08,2.652849154579e-09,1.076231621154e-01,12.969227521284,9.797545950516,4.328590683718,0.042294754826,0.025188387947,False
35,0,35,trot_FR_RL,0.072000000,solved,0.304862970201,0.020943751573,-0.011647130438,0.081863938358,7.200717955221e-08,2.648425317144e-09,1.058207039125e-01,7.241156546417,9.807544952467,6.956822731027,0.051986924549,0.040395071779,False
36,0,36,trot_FR_RL,0.074000000,solved,0.306111252802,0.019436575006,-0.011539508188,0.083636771352,7.103402474878e-08,2.610078831293e-09,1.067556454650e-01,10.818636714265,9.804381663089,4.432317510215,0.038126113746,0.021711435001,False
37,0,37,trot_FR_RL,0.076000000,solved,0.307232911318,0.021645627116,-0.011735968725,0.082446980445,7.159511268074e-08,2.611592357805e-09,1.051275238874e-01,15.896705042187,9.791970433880,6.331354850280,0.027502471591,0.014982853620,False
38,0,38,trot_FR_RL,0.078000000,solved,0.308421003726,0.019971542908,-0.011637580248,0.083978285179,7.208862939264e-08,2.633863497579e-09,1.071605232619e-01,6.475836012942,9.788325635923,4.546698103630,0.030651434073,0.018855378069,False
39,0,39,trot_FR_RL,0.080000000,solved,0.309473300071,0.022128533222,-0.012042111108,0.083106470249,7.351333342329e-08,2.671412415930e-09,1.050024138482e-01,13.509694812442,9.776593139887,5.236865658256,0.023499160089,0.012637540424,False
40,0,40,trot_FR_RL,0.082000000,solved,0.310600488766,0.020194882552,-0.011920099124,0.083623491748,7.315269851852e-08,2.639782296128e-09,1.071151427645e-01,7.092282871935,9.776018811722,5.949867134762,0.017598766129,0.011828109501,False
41,0,41,trot_FR_RL,0.084000000,solved,0.311581131024,0.022249483728,-0.012297096578,0.083197865080,7.461407397144e-08,2.690332063517e-09,1.045083241319e-01,14.182841307412,9.763918626307,5.171229426547,0.017921592989,0.012100185415,False
42,0,42,trot_FR_RL,0.086000000,solved,0.312632184255,0.020266224462,-0.012178437921,0.083468107109,7.402775907340e-08,2.653638896817e-09,1.065124659270e-01,7.527115648476,9.764332330438,6.715801155653,0.012323118004,0.007902967395,False
43,0,43,trot_FR_RL,0.088000000,solved,0.313537258920,0.022261836048,-0.012560750666,0.083207232884,7.564244718459e-08,2.713283497610e-09,1.036613869337e-01,13.478229153815,9.753118021642,5.143722649329,0.013979828406,0.011214308796,False
44,0,44,trot_FR_RL,0.090000000,solved,0.314510788585,0.020249475894,-0.012455743339,0.083239540995,7.466788688363e-08,2.667013686124e-09,1.057426097940e-01,7.666677694518,9.755098955244,6.893083341558,0.010624493004,0.006425822806,False
45,0,45,trot_FR_RL,0.092000000,solved,0.315338564051,0.022212479962,-0.012851554637,0.083121509853,7.641649668513e-08,2.732563016918e-09,1.027068010039e-01,13.212355672111,9.745127029117,5.132422272923,0.011904944743,0.009971926127,False
46,0,46,trot_FR_RL,0.094000000,solved,0.316232982936,0.020192073976,-0.012765183096,0.083010858315,7.525649843481e-08,2.682572105232e-09,1.050543812996e-01,7.707961741756,9.748465620699,6.885793890869,0.011349269599,0.006316666373,False
47,0,47,trot_FR_RL,0.096000000,solved,0.316981705572,0.022147003560,-0.013178141775,0.083027814780,7.702494959214e-08,2.748590916398e-09,1.019338086566e-01,13.192211767867,9.739521040075,5.129411710128,0.011143667294,0.008944580623,False
48,0,48,trot_FR_RL,0.098000000,solved,0.317797092651,0.020118857858,-0.013107237978,0.082829285331,7.578488342864e-08,2.698080322873e-09,1.045847214671e-01,7.676144244302,9.743769328178,6.766158657391,0.012060363117,0.006773693431,False
49,0,49,trot_FR_RL,0.100000000,solved,0.318466840123,0.022066358740,-0.013534383554,0.082947365773,7.755480436602e-08,2.763596512640e-09,1.013469467907e-01,13.180605225992,9.735548901267,5.128699265486,0.010835404912,0.008220426911,False
50,0,50,trot_FR_RL,0.102000000,solved,0.319203273414,0.020031264744,-0.013476239253,0.082675936770,7.625314745614e-08,2.712550528703e-09,1.042482857947e-01,7.650905714983,9.740414727082,6.694820393065,0.012411470857,0.006874355613,False
51,0,51,trot_FR_RL,0.104000000,solved,0.319794119410,0.021972259073,-0.013915074080,0.082873682682,7.802196692117e-08,2.777640285802e-09,1.008805794112e-01,13.173832354472,9.732707188160,5.129058792997,0.010628645335,0.007707538922,False
52,0,52,trot_FR_RL,0.106000000,solved,0.320451670103,0.019931164577,-0.013867426388,0.082542699054,7.667042889096e-08,2.726007596256e-09,1.039926133944e-01,7.630541069440,9.737993329652,6.652783878842,0.012466208698,0.007184082127,False
53,0,53,trot_FR_RL,0.108000000,solved,0.320963680496,0.021866622657,-0.014315879536,0.082802712777,7.843843502267e-08,2.790784837440e-09,1.004891364048e-01,13.169768227364,9.730651050217,5.129829205380,0.010459500839,0.007342279435,False
54,0,54,trot_FR_RL,0.110000000,solved,0.321542410870,0.019820465117,-0.014276863138,0.082423522347,7.704467651128e-08,2.738516597113e-09,1.037808162849e-01,7.613875957081,9.736224028956,6.628589251914,0.012356764418,0.007350651240,False
55,0,55,trot_FR_RL,0.112000000,solved,0.321975642653,0.021751295045,-0.014733234766,0.082731965956,7.881282627318e-08,2.803096805881e-09,1.001411207915e-01,13.167202321590,9.729143457859,5.130671513655,0.010323412954,0.007080571098,False
56,0,56,trot_FR_RL,0.114000000,solved,0.322475605905,0.019700925082,-0.014701323817,0.082313947694,7.738242716644e-08,2.750162264468e-09,1.035872862985e-01,7.600082389791,9.734912670880,6.615301653191,0.012180121467,0.007435753078,False
57,0,57,trot_FR_RL,0.116000000,solved,0.322830107458,0.021627926972,-0.015164226170,0.082659948074,7.915231181251e-08,2.814644443216e-09,9.981496773767e-02,13.165451206542,9.728020834188,5.131426334498,0.010218981996,0.006891836692,False
58,0,58,trot_FR_RL,0.118000000,solved,0.323251348400,0.019574080565,-0.015138177173,0.082210717118,7.768952098541e-08,2.761035946147e-09,1.033946156060e-01,7.588561975605,9.733924579308,6.608709872166,0.011993627134,0.007476547046,False
59,0,59,trot_FR_RL,0.120000000,solved,0.323527160355,0.021497934825,-0.015606479734,0.082585796645,7.946214498531e-08,2.825497879037e-09,9.949614682824e-02,13.164133481921,9.727169770892,5.132031312608,0.010140793661,0.006754808416,False
60,0,60,trot_FR_RL,0.122000000,solved,0.323869716450,0.019441230569,-0.015585280330,0.082111468629,7.797073926777e-08,2.771224676323e-09,1.031913505758e-01,7.578871434944,9.733165876810,6.606246452120,0.011826481287,0.007494843052,False
61,0,61,trot_FR_RL,0.124000000,solved,0.324066872736,0.021362503022,-0.016058062062,0.082509048247,7.974704043944e-08,2.835725304021e-09,9.917511274914e-02,13.163039512898,9.726511237651,5.132474014237,0.010081839976,0.006654639159,False
62,0,62,trot_FR_RL,0.126000000,solved,0.324330775185,0.019303451246,-0.016040887342,0.082014503618,7.823003052086e-08,2.780812517422e-09,1.029703365033e-01,7.570674571485,9.732570771488,6.606339023119,0.011690545173,0.007503007545,False
63,0,63,trot_FR_RL,0.128000000,solved,0.324449304060,0.021222605610,-0.016517396624,0.082429490119,8.001060794894e-08,2.845390212823e-09,9.884584421859e-02,13.162056403607,9.725989855567,5.132765629537,0.010035833201,0.006580915921,False
64,0,64,trot_FR_RL,0.130000000,solved,0.324634578821,0.019161622178,-0.016503572925,0.081918611874,7.847082858122e-08,2.789873538235e-09,1.027274921505e-01,7.563710862414,9.732092888479,6.608019789828,0.011587959366,0.007507711328,False
65,0,65,trot_FR_RL,0.132000000,solved,0.324674503815,0.021079034840,-0.016983194703,0.082347065278,8.025588789314e-08,2.854554140922e-09,9.850479657256e-02,13.161125052998,9.725566593132,5.132926739823,0.009998105888,0.006526295347,False
66,0,66,trot_FR_RL,0.134000000,solved,0.324781172497,0.019016455886,-0.016972170160,0.081822941001,7.869604840804e-08,2.798476663730e-09,1.024609023785e-01,7.557774564399,9.731699343687,6.610689819199,0.011515973318,0.007512274743,False
67,0,67,trot_FR_RL,0.136000000,solved,0.324742513223,0.020932430426,-0.017454399385,0.082261811675,8.048566608269e-08,2.863272421004e-09,9.815014862694e-02,13.160215768959,9.725213777055,5.132979972463,0.009965599500,0.006485566632,False
68,0,68,trot_FR_RL,0.138000000,solved,0.324770593840,0.018868526206,-0.017445720226,0.081726899508,7.890756480483e-08,2.806679510273e-09,1.021701484951e-01,7.552700539938,9.731366678262,6.613976324769,0.011469803580,0.007518112509,False
69,0,69,trot_FR_RL,0.140000000,solved,0.324653366679,0.020783306515,-0.017930140545,0.082173823077,8.070195740359e-08,2.871595938382e-09,9.778126078195e-02,13.159314563297,9.724911671006,5.132946505247,0.009936498681,0.006455007256,False
70,0,70,trot_FR_RL,0.142000000,solved,0.324602874289,0.018718293617,-0.017923432141,0.081630085158,7.910807901398e-08,2.814535926048e-09,1.018558169649e-01,7.548354433237,9.731078057788,6.617645940137,0.011444213628,0.007525607584,False
71,0,71,trot_FR_RL,0.144000000,solved,0.324407092955,0.020632075191,-0.018409698900,0.082083223901,8.090659174230e-08,2.879571623087e-09,9.739828575674e-02,13.158415554350,9.724646118741,5.132844657861,0.009909822272,0.006431939047,False
72,0,72,trot_FR_RL,0.146000000,solved,0.324278040175,0.018566126887,-0.018404650656,0.081532232164,7.929868473189e-08,2.822089968839e-09,1.015191419584e-01,7.544625704428,9.730821333169,6.621551787863,0.011434309970,0.007534627481,False
73,0,73,trot_FR_RL,0.148000000,solved,0.324003716181,0.020479066278,-0.018892477348,0.081990153068,8.110131557210e-08,2.887239825129e-09,9.700189008167e-02,13.157516833175,9.724406911913,5.132689563538,0.009885092334,0.006414421257,False
74,0,74,trot_FR_RL,0.150000000,solved,0.323796113614,0.018412321111,-0.018888830674,0.081433172385,7.948109546486e-08,2.829382309418e-09,1.011617480730e-01,7.541422575472,9.730587690599,6.625601010320,0.011435881779,0.007544819869,False
75,0,75,trot_FR_RL,0.152000000,solved,0.323443256655,0.020324543687,-0.019377978138,0.081894753735,8.128749200071e-08,2.894637886112e-09,9.659305615180e-02,13.156618272613,9.724186653175,5.132493357506,0.009862104288,0.006401037424,False
76,0,76,trot_FR_RL,0.154000000,solved,0.323157113238,0.018257112460,-0.019375516854,0.081332806895,7.965648434882e-08,2.836446224381e-09,1.007854676963e-01,7.538668279956,9.730370705887,6.629734735227,0.011445489860,0.007555774208,False
77,0,77,trot_FR_RL,0.156000000,solved,0.322725731498,0.020168718697,-0.019865784652,0.081797166858,8.146616330874e-08,2.901797305050e-09,9.617294291114e-02,13.155720410386,9.723979959310,5.132265576207,0.009840782891,0.006390746577,False
78,0,78,trot_FR_RL,0.158000000,solved,0.322361054785,0.018100690118,-0.019864327325,0.081231085230,7.982573722685e-08,2.843312501847e-09,1.003922136710e-01,7.536298221110,9.730165677707,6.633915630830,0.011460428903,0.007567103820,False
79,0,79,trot_FR_RL,0.160000000,solved,0.321851155194,0.020011760648,-0.020355546836,0.081697527296,8.163848749247e-08,2.908749081962e-09,9.574278915925e-02,13.154823914144,9.723782899011,5.132013608497,0.009821099849,0.006382778696,False
80,0,80,trot_FR_RL,0.162000000,solved,0.321407951584,0.017943205847,-0.020354940628,0.081127990281,7.998981984924e-08,2.850006557370e-09,9.998389264388e-02,7.534257776372,9.729969154317,6.638120117564,0.011478634411,0.007578482028,False
81,0,81,trot_FR_RL,0.164000000,solved,0.320819540024,0.019853805500,-0.020846969498,0.081595961578,8.180526697165e-08,2.915518240705e-09,9.530384775581e-02,13.153929352869,9.723592593551,5.131743122428,0.009803031391,0.006376560766,False
82,0,82,trot_FR_RL,0.166000000,solved,0.320297814954,0.017784781625,-0.020847085221,0.081023527376,8.014940566824e-08,2.856550709773e-09,9.956234809557e-02,7.532500572329,9.729778595300,6.642333453865,0.011498573285,0.007589652876,False
83,0,83,trot_FR_RL,0.168000000,solved,0.319630896428,0.019694962644,-0.021339802875,0.081492586772,8.196722750277e-08,2.922126650462e-09,9.485734212057e-02,13.153037122704,9.723406931222,5.131458436129,0.009786539815,0.006371664079,False
84,0,84,trot_FR_RL,0.170000000,solved,0.319030654527,0.017625515722,-0.021340530988,0.080917716419,8.030515605643e-08,2.862964705953e-09,9.912932480518e-02,7.530987109126,9.729592128176,6.646546608418,0.011519137876,0.007600428663,False
85,0,85,trot_FR_RL,0.172000000,solved,0.318285233301,0.019535320309,-0.021833835000,0.081387510076,8.212499585383e-08,2.928595339740e-09,9.440443871339e-02,13.152147445178,9.723224361795,5.131162824613,0.009771568279,0.006367766380,False
86,0,86,trot_FR_RL,0.174000000,solved,0.317606478518,0.017465487507,-0.021835082352,0.080810586284,8.045764296217e-08,2.869264559324e-09,9.868644860477e-02,7.529683649638,9.729408372113,6.650754251538,0.011539552282,0.007610681424,False
87,0,87,trot_FR_RL,0.176000000,solved,0.316782558235,0.019374949854,-0.022328885476,0.081280828873,8.227913502860e-08,2.934940662138e-09,9.394623086159e-02,13.151260394899,9.723043747639,5.130858765645,0.009758042236,0.006364624474,False
88,0,88,trot_FR_RL,0.178000000,solved,0.316025293944,0.017304761271,-0.022330572651,0.080702170860,8.060717478136e-08,2.875466342663e-09,9.823521686863e-02,7.528561312857,9.729226309465,6.654953453782,0.011559293775,0.007620332351,False
89,0,89,trot_FR_RL,0.180000000,solved,0.315122877723,0.019213909157,-0.022824800392,0.081172631078,8.243026577124e-08,2.941178498055e-09,9.348373054336e-02,13.150375935336,9.722864255238,5.130548132492,0.009745873616,0.006362054227,False
90,0,90,trot_FR_RL,0.182000000,solved,0.314289905831,0.017137836741,-0.022807819485,0.080592506300,8.075434080011e-08,2.881582019537e-09,9.777699638461e-02,7.527595327313,9.729045191618,6.659142835778,0.011578029134,0.007629341264,False
91,0,91,trot_FR_RL,0.184000000,solved,0.313311814541,0.019039979407,-0.023283897348,0.081037699616,8.260102336660e-08,2.947604014234e-09,9.296518707175e-02,13.146955354908,9.722556814234,5.126588783798,0.009655065313,0.006488377383,False
92,0,92,trot_FR_RL,0.186000000,solved,0.312407083829,0.016946722437,-0.023221527706,0.080434800067,8.105445319698e-08,2.890306861583e-09,9.736996667381e-02,7.700333795876,9.728901157593,6.899605863420,0.011734476806,0.007610812315,False
93,0,93,trot_FR_RL,0.188000000,solved,0.311357257418,0.018828716967,-0.023653455811,0.080846167895,8.291189251268e-08,2.956040263516e-09,9.245387071021e-02,13.140620030100,9.722095122388,5.117541831898,0.009844005105,0.006806035205,False
94,0,94,trot_FR_RL,0.190000000,solved,0.310387876614,0.016668089573,-0.023503641638,0.080194827162,8.165658201651e-08,2.904730379302e-09,9.722914285472e-02,8.112780478567,9.728880562296,7.391722985459,0.012625061166,0.007501243900,False
95,0,95,trot_FR_RL,0.192000000,solved,0.309312020133,0.019106010563,-0.023724525065,0.080556480142,8.363421440658e-08,2.974479436491e-09,9.223971739577e-02,12.953763425287,9.721542392230,5.098429115830,0.011202984512,0.007338170066,False
96,0,96,trot_FR_RL,0.194000000,solved,0.308250637498,0.016725366851,-0.024040091856,0.081199038061,8.148071078342e-08,2.921697858055e-09,1.019879678331e-01,14.765440558252,9.730870865600,6.446570188672,0.019685377095,0.009328473371,False
97,0,97,trot_FR_RL,0.196000000,solved,0.307114235091,0.019378780031,-0.024099586858,0.081434445713,8.384014372615e-08,3.016985747629e-09,9.656468449556e-02,12.827701899024,9.728090687984,5.233172196632,0.026741488435,0.018819609671,False
98,0,98,trot_FR_RL,0.198000000,solved,0.305996717314,0.017187664149,-0.024248060429,0.081715995783,8.054683704650e-08,2.913513502401e-09,1.046923419295e-01,11.609369090516,9.739066965899,6.795593879635,0.020268486562,0.010976277915,False
99,0,99,trot_FR_RL,0.200000000,solved,0.304817841022,0.020121812723,-0.024029480876,0.081285795549,8.352722936351e-08,3.028788886307e-09,9.734805223839e-02,12.151124155049,9.735389862882,6.581184849450,0.016359607735,0.009822581570,False
100,0,100,trot_FR_RL,0.202000000,solved,0.303741021453,0.018668756026,-0.023400279565,0.081814420939,7.916427437652e-08,2.889731436708e-09,1.058470337982e-01,8.857022877458,9.750241061288,7.424484078737,0.024158052479,0.014851198407,False
101,0,101,trot_FR_RL,0.204000000,solved,0.302645326417,0.019398427999,-0.023662738888,0.080916323551,8.176114820350e-08,2.977466126359e-09,9.609073036719e-02,10.861891114010,9.741582824808,5.274107689412,0.028720996388,0.018813670073,False
102,0,102,trot_FR_RL,0.206000000,solved,0.301570770146,0.019255501469,-0.023634223368,0.082107166579,7.989187660538e-08,2.918800672453e-09,1.021875229240e-01,13.904526801322,9.739552264956,4.301706449168,0.008630054773,0.007037466997,False
103,0,103,trot_FR_RL,0.208000000,solved,0.300544859308,0.021502668083,-0.023862474607,0.081913731438,7.924946297463e-08,2.872791768701e-09,9.860309036879e-02,10.716379009950,9.748734511007,5.886068652054,0.035598731531,0.024590548485,False
104,0,104,trot_FR_RL,0.210000000,solved,0.299630333738,0.023665565070,-0.023580087275,0.082521662833,7.823165623246e-08,2.834369317087e-09,1.000407509545e-01,10.354121678466,9.754168049753,4.697853879206,0.024095381847,0.014952582197,False
105,0,105,trot_FR_RL,0.212000000,solved,0.298672899354,0.025870413288,-0.023137362523,0.083330709905,7.819239826904e-08,2.824305673393e-09,1.017229577342e-01,13.946313069817,9.758174708948,5.960483257520,0.031063363257,0.020943739123,False
106,0,106,trot_FR_RL,0.214000000,solved,0.297866233925,0.025542521196,-0.022183851046,0.083497853280,7.822192342698e-08,2.834259217260e-09,1.032908661047e-01,9.110470289248,9.766689036560,5.236790543535,0.032217354729,0.019270404138,False
107,0,107,trot_FR_RL,0.216000000,solved,0.297103772806,0.029337212774,-0.021869943214,0.083055773859,7.983842544688e-08,2.878248041284e-09,1.007222036131e-01,8.547690003193,9.762572543861,6.016093197200,0.020599211155,0.010617146178,False
108,0,108,trot_FR_RL,0.218000000,solved,0.296549326939,0.028731849233,-0.020536645094,0.083877335392,7.679157815234e-08,2.782749798143e-09,1.056516836512e-01,8.242003668236,9.774497310909,4.760345497707,0.029248687723,0.016379871063,False
109,0,109,trot_FR_RL,0.220000000,solved,0.296016102533,0.032436917629,-0.020036619803,0.083394721793,7.913951163261e-08,2.843239397922e-09,1.012905235801e-01,9.664485152473,9.761291482422,6.440667349512,0.036748216772,0.021965421607,False
110,0,110,trot_FR_RL,0.222000000,solved,0.295696388047,0.031771131647,-0.018601832620,0.083948572573,7.564490672210e-08,2.746733424367e-09,1.082775602781e-01,8.766225589095,9.780663599407,5.575152348820,0.035351416390,0.021337155733,False
111,0,111,trot_FR_RL,0.224000000,solved,0.295402214426,0.034970136191,-0.017980483590,0.083631611407,7.829676032148e-08,2.804113833700e-09,1.030309486051e-01,9.342708879779,9.761142882718,5.665080042266,0.054342958584,0.031408053678,False
112,0,112,trot_FR_RL,0.226000000,solved,0.295323854009,0.033720298168,-0.016404643263,0.084062269567,7.478372321737e-08,2.716479909451e-09,1.091748660911e-01,8.198699900986,9.782822885354,5.902664260076,0.038252757686,0.021680002637,False
