step,time,base_x,base_y,base_z,roll,pitch,yaw,torque_norm,torque_max_abs,torque_saturation,n_contact,contact_pairs
0,0.002,0.0,0.0,0.28480584648330304,-1.2181847323743971e-05,0.0004242126275728479,-3.0238710475573553e-07,0.0,0.0,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
1,0.004,-3.371664115286053e-05,-4.9436512318310566e-08,0.2848843983182138,8.971161359116671e-05,0.000341403964885978,-1.354665574343097e-05,19.15557883662364,8.302302663469831,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
2,0.006,-2.4007303077455415e-05,1.2070180721969686e-06,0.2848733529718181,0.00017092781463197413,0.0006613098262259025,-2.6001666445633228e-05,9.03318201842595,4.3035347681947345,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
3,0.008,-5.646956265401244e-05,2.291181370970694e-06,0.28489355815814943,-0.0015782551106954146,0.0006744572448812033,0.00018474950944613792,15.287812448692849,6.433635124451025,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
4,0.01,-4.917491080982635e-05,-1.6954885623616218e-05,0.28473293996083365,-0.0011332520272061886,0.0009999969282950022,0.00013675469280118277,10.30058756937837,5.3076804896076615,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
5,0.012,-7.977752382665656e-05,-8.908897675156358e-06,0.28468579026869467,0.0008761521136508419,0.0006451755610943119,-0.0001560200109640143,12.91692635435155,5.219274541283036,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
6,0.014,-7.080589450600935e-05,1.6889158189098844e-05,0.28452218053564954,0.0006154338056598123,0.0008922017377861107,-0.0001932999483909062,13.02693452592352,5.341817035499438,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
7,0.016,-0.00010193667465844896,1.5096966457231446e-05,0.28443196932679937,0.001882902006922853,0.0008567951778770016,-3.505644858011269e-05,11.050611486806588,4.125286311716445,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
8,0.018000000000000002,-8.969580258862651e-05,2.936395681376772e-05,0.2842264230135582,0.0008973770566359981,0.0010950034072252088,-9.770953306855349e-05,14.091476378405906,6.033060005834674,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
9,0.020000000000000004,-0.00012068966681338825,1.7153633892184724e-05,0.28409277755135764,0.0035357865112258836,0.0008553536407886736,-0.0002506376581963042,10.030153236597869,4.078206247979847,0,4,floor<->FR|floor<->FL|floor<->RR|floor<->RL
