knot,time,mode,leg,active,fx,fy,fz,mu_fz_minus_abs_fx,mu_fz_minus_abs_fy,achieved_Fx,achieved_Fy,achieved_Fz,achieved_Mx,achieved_My,achieved_Mz,error_Fx,error_Fy,error_Fz,error_Mx,error_My,error_Mz,wrench_error_norm,knot_pass
0,0.12,trot_FR_RL,FR,1,-0.014810357045861615,-0.021975158569916067,61.888701260957816,37.11841039952883,37.11124559800477,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
0,0.12,trot_FR_RL,FL,0,-1.5996774741587587e-14,7.138320596007798e-15,-4.279536274984095e-12,-2.583718539732045e-12,-2.574860085586465e-12,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
0,0.12,trot_FR_RL,RR,0,-1.613800202375811e-14,7.375411966957461e-15,-4.2793371653199534e-12,-2.58374030121573e-12,-2.5749777111589293e-12,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
0,0.12,trot_FR_RL,RL,1,-0.015103124285091238,-0.02241595739822659,63.12450748915967,37.85960136921071,37.852288536097575,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
1,0.13999999999999999,trot_FR_RL,FR,1,-0.014810357045861615,-0.021975158569916067,61.888701260957816,37.11841039952883,37.11124559800477,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
1,0.13999999999999999,trot_FR_RL,FL,0,-1.5996774741587587e-14,7.138320596007798e-15,-4.279536274984095e-12,-2.583718539732045e-12,-2.574860085586465e-12,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
1,0.13999999999999999,trot_FR_RL,RR,0,-1.613800202375811e-14,7.375411966957461e-15,-4.2793371653199534e-12,-2.58374030121573e-12,-2.5749777111589293e-12,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
1,0.13999999999999999,trot_FR_RL,RL,1,-0.015103124285091238,-0.02241595739822659,63.12450748915967,37.85960136921071,37.852288536097575,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
2,0.16,trot_FR_RL,FR,1,-0.014810357045861615,-0.021975158569916067,61.888701260957816,37.11841039952883,37.11124559800477,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
2,0.16,trot_FR_RL,FL,0,-1.5996774741587587e-14,7.138320596007798e-15,-4.279536274984095e-12,-2.583718539732045e-12,-2.574860085586465e-12,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
2,0.16,trot_FR_RL,RR,0,-1.613800202375811e-14,7.375411966957461e-15,-4.2793371653199534e-12,-2.58374030121573e-12,-2.5749777111589293e-12,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
2,0.16,trot_FR_RL,RL,1,-0.015103124285091238,-0.02241595739822659,63.12450748915967,37.85960136921071,37.852288536097575,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
3,0.18,trot_FR_RL,FR,1,-0.014810357045861615,-0.021975158569916067,61.888701260957816,37.11841039952883,37.11124559800477,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
3,0.18,trot_FR_RL,FL,0,-1.5996774741587587e-14,7.138320596007798e-15,-4.279536274984095e-12,-2.583718539732045e-12,-2.574860085586465e-12,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
3,0.18,trot_FR_RL,RR,0,-1.613800202375811e-14,7.375411966957461e-15,-4.2793371653199534e-12,-2.58374030121573e-12,-2.5749777111589293e-12,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
3,0.18,trot_FR_RL,RL,1,-0.015103124285091238,-0.02241595739822659,63.12450748915967,37.85960136921071,37.852288536097575,-0.029913481330984988,-0.04439111596812814,125.01320875010893,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,-0.029913481330984988,-0.04439111596812814,-1.612989106547502e-05,0.03611764423473662,-0.024338304026597868,-1.1668979072940178e-09,0.06900887675050574,True
4,0.2,trot_FL_RR,FR,0,-1.491271766803454e-14,6.148094514189124e-15,-4.276016763441847e-12,-2.580522775733143e-12,-2.5717581525792975e-12,-0.1258035537657412,0.18669477674925283,125.01304390112873,-0.15189921181057278,-0.10235669680614776,2.7626374266229944e-09,-0.1258035537657412,0.18669477674925283,-0.000180978871270554,-0.15189921181057278,-0.10235669680614776,2.7626374266229944e-09,0.29022710157501463,True
