mode,contact_sign,osqp_status,active_legs,swing_legs,nv,nu,num_vars,num_stance_acc_constraints,num_swing_acc_task_rows,base_qdd_z_ref,base_qdd_z,base_z_task_error,swing_acc_ref_x,swing_acc_ref_y,swing_acc_ref_z,swing_acc_error_norm,swing_acc_error_max_abs,dyn_res_norm,stance_acc_res_norm,max_abs_tau,max_abs_qdd,min_active_fz,min_friction_margin,inactive_force_norm,status_pass,dyn_pass,stance_acc_pass,base_z_task_pass,swing_acc_pass,torque_pass,fz_pass,friction_pass,inactive_pass,pass
trot_FR_RL,1.0,solved,"FR,RL","FL,RR",18,12,42,6,6,0.200000000000,0.215789494368,1.578949436807e-02,0.400000000000,0.000000000000,0.800000000000,1.227426649713e-01,8.578944289191e-02,4.281617822997e-14,1.152775633689e-16,10.545880364253,2.910331019188,63.530428891910,37.533924480127,3.987469546604e-20,True,True,True,True,True,True,True,True,True,True
trot_FL_RR,1.0,solved,"FL,RR","FR,RL",18,12,42,6,6,0.200000000000,0.215607732660,1.560773265970e-02,0.400000000000,0.000000000000,0.800000000000,1.218506194838e-01,8.880804591198e-02,4.286630305818e-14,1.083889877283e-16,10.480313206115,3.026505313002,63.784137690160,37.526106825020,3.911866994703e-20,True,True,True,True,True,True,True,True,True,True
