wbc_torque_scale,swing_pd_torque_scale,target_scale,total_steps,transition_count,trot_FR_RL_steps,trot_FL_RR_steps,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p20,max_abs_pitch,pitch_margin_to_0p20,z_margin_to_0p22,max_joint_error,max_swing_joint_error,max_stance_joint_error,max_tau_wbc_abs,max_tau_swing_pd_abs,max_tau_total_raw_abs,max_tau_total_abs,max_cmd_step_jump_norm,max_cmd_step_jump_abs,max_dyn_res_norm,max_stance_acc_res_norm,max_swing_acc_error_norm,qp_fail_steps,saturation_steps,pass,pass_margin,recommended
0.0,0.25,0.45,1200,5,600,600,0.284805846483,0.285913576574,0.281287635221,0.296725148287,0.001107730091,0.026440099358,0.003338456266,0.105882355485,0.094117644515,0.032402181293,0.167597818707,0.061287635221,0.121269642847,0.121269642847,0.076272986572,0.000000000000,3.585645646942,3.585645646942,3.585645646942,6.394770589298,2.650251525419,8.303299960341e-08,3.491637539428e-09,5.176833573864e-01,0,0,False,False,False
0.0,0.25,0.6,1200,5,600,600,0.284805846483,0.301448467237,0.281406869588,0.301448467237,0.016642620754,-0.096690816170,-0.009482239706,0.110755772954,0.089244227046,0.045823698031,0.154176301969,0.061406869588,0.126877284867,0.126877284867,0.074794327977,0.000000000000,3.765922444684,3.765922444684,3.765922444684,6.460370759843,2.688767477148,9.191610644644e-08,3.570799713989e-09,6.722299274030e-01,0,0,False,False,False
0.0,0.5,0.45,1200,5,600,600,0.284805846483,0.282065395617,0.274523216297,0.289403619849,-0.002740450867,-0.028561986944,-0.008412611816,0.071799948797,0.128200051203,0.047241021339,0.152758978661,0.054523216297,0.075092532397,0.075092532397,0.035708315869,0.000000000000,5.466791524026,5.466791524026,5.466791524026,12.821144159680,5.441685154302,8.452170456613e-08,3.445282553528e-09,5.033788630760e-01,0,0,True,True,False
0.0,0.5,0.6,1200,5,600,600,0.284805846483,0.279950104317,0.272828339660,0.290627959019,-0.004855742166,0.024308533820,0.023564912724,0.077071805725,0.122928194275,0.050989836461,0.149010163539,0.052828339660,0.069174669333,0.069174669333,0.035398690216,0.000000000000,5.130669858319,5.130669858319,5.130669858319,12.856001760495,5.542004374834,8.385958627131e-08,3.416848534181e-09,5.195752175814e-01,0,0,True,True,False
0.0,0.75,0.45,1200,5,600,600,0.284805846483,0.278310544360,0.273560102250,0.286192396049,-0.006495302123,0.001730304043,0.004612578650,0.081050979581,0.118949020419,0.038526145564,0.161473854436,0.053560102250,0.056916933566,0.056916933566,0.040626466563,0.000000000000,6.927913461938,6.927913461938,6.927913461938,19.218700982481,8.105769115036,8.317511092371e-08,3.277658348817e-09,4.473491801157e-01,0,0,True,True,True
0.0,0.75,0.6,1200,5,600,600,0.284805846483,0.282527120574,0.273074678305,0.287496801141,-0.002278725909,-0.004970070826,-0.009466606840,0.081630338819,0.118369661181,0.050048860032,0.149951139968,0.053074678305,0.075878146642,0.075878146642,0.034012011961,0.000000000000,8.174605132376,8.174605132376,8.174605132376,19.422088669465,8.093222447045,8.171301758436e-08,3.357504182082e-09,6.098818227666e-01,0,0,True,True,False
0.25,0.25,0.45,1200,5,600,600,0.284805846483,0.306728931293,0.284805846483,0.328100298549,0.021923084810,-0.100524808597,-0.066755762263,0.157876682906,0.042123317094,0.118306806277,0.081693193723,0.064805846483,0.186451528362,0.183291151999,0.186451528362,2.672331619400,5.487438026080,3.913042303593,3.913042303593,6.498705819171,2.991430837822,1.218215568741e-07,4.235444876654e-09,7.394322317311e-01,0,0,False,False,False
0.25,0.25,0.6,1200,5,600,600,0.284805846483,0.314945281965,0.284805846483,0.337773728077,0.030139435481,-0.285400643104,-0.086237654474,0.314930477415,-0.114930477415,0.124390977760,0.075609022240,0.064805846483,0.189855989001,0.185668463107,0.189855989001,2.849266768398,5.467223220120,3.906695493468,3.906695493468,6.490690339439,2.974658469544,1.350835692150e-07,4.592010298313e-09,1.407819662520e+00,0,0,False,False,False
0.25,0.5,0.45,1200,5,600,600,0.284805846483,0.294215627524,0.283737667352,0.302077529991,0.009409781041,-0.026611079842,-0.022389637114,0.094974914214,0.105025085786,0.062491905925,0.137508094075,0.063737667352,0.100985288083,0.100985288083,0.095308902363,2.675460540249,7.380724126627,6.526708992364,6.526708992364,13.151838363820,5.512975255143,9.116338223403e-08,3.697871863120e-09,5.062239740590e-01,0,0,False,False,False
0.25,0.5,0.6,1200,5,600,600,0.284805846483,0.291986334245,0.283727018577,0.299204828088,0.007180487761,-0.032219838314,-0.018358397007,0.127227887916,0.072772112084,0.079513947593,0.120486052407,0.063727018577,0.104710787742,0.104710787742,0.094222037044,2.664367356187,7.733417596126,6.635867889988,6.635867889988,13.140589442610,5.763162195349,9.474664140395e-08,3.417061202045e-09,7.335057269155e-01,0,0,False,False,False
0.25,0.75,0.45,1200,5,600,600,0.284805846483,0.289344644747,0.281888146002,0.297703524812,0.004538798263,-0.051558758046,-0.021288683147,0.139782568733,0.060217431267,0.056908886104,0.143091113896,0.061888146002,0.086846043753,0.086846043753,0.056478866348,2.680677447666,9.446076688456,8.749771539305,8.749771539305,19.531141193787,8.321354829362,8.407895386389e-08,3.373502228349e-09,7.270345526808e-01,0,0,False,False,False
0.25,0.75,0.6,1200,5,600,600,0.284805846483,0.294043240140,0.280852511517,0.294043240140,0.009237393656,-0.068349039498,-0.030561947246,0.169559260688,0.030440739312,0.074510269365,0.125489730635,0.060852511517,0.084935020234,0.084749959052,0.084935020234,2.798160681826,9.463490319746,9.078118034960,9.078118034960,19.594841766453,8.256552335545,9.919239210533e-08,3.469342364947e-09,8.947917589060e-01,0,0,False,False,False
