[INFO] [1780478924.825262067] [go1_disabled_controller_node]: Stage 12.4 active torque publisher constructed without publish call; manual flags remain default false.
[INFO] [1780478924.827385068] [go1_disabled_controller_node]: Go1 disabled C++ controller skeleton started with dormant publisher-path skeleton. No ROS torque publisher is constructed.
[INFO] [1780479001.827536527] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479006.827646982] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479012.827671602] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479018.827647888] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479024.827483639] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479029.827611558] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479035.827492141] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479040.827609822] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479046.827488175] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479051.827528043] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479056.827542473] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479062.827494232] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479067.827510443] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479073.827633485] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479078.828378477] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479084.827610261] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479090.827529983] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479096.827551985] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479102.827499740] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479107.827550143] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479113.827487158] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
[INFO] [1780479118.827574226] [go1_disabled_controller_node]: disabled controller skeleton: state_ready=0 inputs_fresh=0 internal_safe_tau_size=12 dormant_payload_size=12 internal_safe_tau_max_abs=0.000000 clamp_applied=0 enable_torque_publisher=0 confirm_torque_publisher_enable=0 manual_enable_active=0 dormant_publisher_path_skeleton_present=1 dormant_construct_allowed=0 dormant_publish_allowed=0 torque_publisher_enabled=0 uses_safety_utilities=1
