mode,contact_sign,osqp_status,objective,active_legs,inactive_legs,nv,nu,num_vars,mu,torque_limit,dyn_res_norm,dyn_res_max_abs,max_abs_tau,max_abs_qdd,qdd_norm,min_active_fz,min_friction_margin,inactive_force_norm,tau_diff_norm,force_diff_norm,status_pass,dyn_pass,torque_pass,fz_pass,friction_pass,inactive_pass,pass,reason,FR_fx,FR_fy,FR_fz,FL_fx,FL_fy,FL_fz,RR_fx,RR_fy,RR_fz,RL_fx,RL_fy,RL_fz,FR_tau_hip,FR_tau_thigh,FR_tau_calf,FL_tau_hip,FL_tau_thigh,FL_tau_calf,RR_tau_hip,RR_tau_thigh,RR_tau_calf,RL_tau_hip,RL_tau_thigh,RL_tau_calf,selected
all_stance,1.0,solved,-171.979628120009,"FR,FL,RR,RL",,18,12,42,0.6,23.7,3.058654385954e-15,1.776356839400e-15,5.056337446402,0.049978975600,0.103580173491,31.042853613639,16.383104129701,0.000000000000e+00,0.788869182635,4.630359089541,True,True,True,True,True,True,True,,-0.198285582516,-2.242608038483,31.042853613639,-0.203173269643,2.251221387957,31.459165152720,-0.112775316351,-2.341778208908,31.333963838120,-0.116814543870,2.353529136149,31.746757934874,2.372870031102,0.301958167879,4.928060036755,-2.404507771160,0.300658203533,4.996867356379,2.422238921874,0.324654760359,4.988004458106,-2.454425101704,0.323580350031,5.056337446402,True
trot_FR_RL,1.0,solved,-338.501563427342,"FR,RL","FL,RR",18,12,42,0.6,23.7,5.688431200954e-14,5.684341886081e-14,10.336919898027,0.237866214144,0.358853665751,62.411789250330,37.043123301078,2.927122837681e-19,1.453084210531,1.704702662899,True,True,True,True,True,True,True,,-0.403950249120,0.096210740093,62.411789250330,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.007596894556,-0.097055756662,63.300354598520,4.263360849811,0.246310690927,10.134005516964,0.702960406555,0.351190357444,-0.225716930889,-0.698806320230,0.354372667029,-0.224896404088,-4.327992204857,0.356360153433,10.336919898027,True
trot_FL_RR,1.0,solved,-338.389322095717,"FL,RR","FR,RL",18,12,42,0.6,23.7,2.849909156386e-14,2.842170943040e-14,10.276991490673,0.287407603927,0.374421940160,62.665557010073,37.034076533927,2.911209529221e-19,1.445797911745,1.810670486121,True,True,True,True,True,True,True,,0.000000000000,0.000000000000,-0.000000000000,-0.565257672117,0.233268735490,62.665557010073,-0.174468107118,0.413855793614,63.082920118992,0.000000000000,-0.000000000000,-0.000000000000,-0.697771205971,0.353251047391,-0.225665686219,-4.363539888076,0.205372488440,10.155379245675,4.233744349145,0.309800149201,10.276991490673,0.704219495773,0.355034023915,-0.224341614461,True
