scale,evidence_source,pass,run_returncode,run_timed_out,control_mode,total_steps,candidate_row_count,min_z,max_abs_roll,max_abs_pitch,max_tau_total_abs,max_tau_candidate_abs,max_tau_candidate_scaled_abs,qp_fail_steps,saturation_steps,real_robot_torque_commanded,ros_publisher_used,summary_csv,log_csv,failed_checks
0.00,baseline_reference,True,,False,baseline,2400,0,0.274552192756,0.056707402709,0.04832948253,9.659563043535,0.0,0.0,0,0,False,False,results/logs_sample/stage14_5e_r1_scale_0p00_baseline_reference_summary.csv,results/logs_sample/stage14_5e_r1_scale_0p00_baseline_reference_log.csv,[]
0.02,candidate_run,True,0,False,mpc_assisted_candidate,2400,100,0.273040429683,0.090249676148,0.064958727791,9.91188550792,19.4425094473,0.388850188946,0,0,False,False,results/logs_sample/stage14_5e_r1_scale_0p02_candidate_summary.csv,results/logs_sample/stage14_5e_r1_scale_0p02_candidate_log.csv,[]
0.05,candidate_run,True,0,False,mpc_assisted_candidate,2400,100,0.276975761939,0.102952660101,0.053162351948,10.019186119959,19.4425094473,0.972125472365,0,0,False,False,results/logs_sample/stage14_5e_r1_scale_0p05_candidate_summary.csv,results/logs_sample/stage14_5e_r1_scale_0p05_candidate_log.csv,[]
0.10,candidate_run,True,0,False,mpc_assisted_candidate,2400,100,0.274332281656,0.075194323645,0.077452968358,10.59512016256,19.4425094473,1.94425094473,0,0,False,False,results/logs_sample/stage14_5e_r1_scale_0p10_candidate_summary.csv,results/logs_sample/stage14_5e_r1_scale_0p10_candidate_log.csv,[]
