step,contact_FR,contact_FL,contact_RR,contact_RL,desired_ax,desired_ay,desired_az,jacobian_norm_step,tau_candidate_max_abs,alpha_0_10_tau_max_abs,alpha_0_20_tau_max_abs
860,1,0,0,1,-0.1926283106939474,0.03406234332520583,0.03322383596783251,0.5200492208565161,7.066164875256391,0.983979372430523,1.967958744861046
880,1,0,0,1,-0.17113677648217224,0.029449964214774253,0.032062679394835064,0.5203127288914232,7.4203866970415415,0.983979372430523,1.967958744861046
900,1,0,0,1,-0.14694631307311834,0.0247213595499958,0.03082052971103157,0.5200186981131123,7.788757368159156,0.983979372430523,1.967958744861046
920,1,0,0,1,-0.12043841852542883,0.019895190973188388,0.029500524694326957,0.5192007445997582,8.154996886797468,0.983979372430523,1.967958744861046
940,1,0,0,1,-0.09203113817116947,0.014990505166857966,0.028105998791953968,0.5178930879336746,8.504131423511465,0.983979372430523,1.967958744861046
960,1,0,0,1,-0.06217247179121384,0.010026658685144364,0.02664047469737007,0.5161291274964008,8.823309627359501,0.983979372430523,1.967958744861046
980,1,0,0,1,-0.03133330839107616,0.005023241562345087,0.025107654451628023,0.5139435966481636,9.102298138872126,0.983979372430523,1.967958744861046
1000,0,1,1,0,-6.123233995736766e-17,9.797174393178826e-18,0.02351141009169893,0.5194048872578849,9.076178094568377,0.983979372430523,1.967958744861046
1020,0,1,1,0,0.031333308391076044,-0.0050232415623450676,0.02185577386937077,0.5201425170321309,8.843501099408247,0.983979372430523,1.967958744861046
1040,0,1,1,0,0.06217247179121372,-0.010026658685144343,0.02014492806543044,0.5202990907156259,8.57547352208855,0.983979372430523,1.967958744861046
1060,0,1,1,0,0.09203113817116955,-0.014990505166857982,0.01838319442485952,0.5199041974657626,8.281667326447531,0.983979372430523,1.967958744861046
1080,0,1,1,0,0.12043841852542891,-0.0198951909731884,0.016575023239731354,0.5189918457201604,7.973763600491575,0.983979372430523,1.967958744861046
1100,0,1,1,0,0.1469463130731184,-0.024721359549995818,0.01472498210738711,0.517596097101664,7.665148135109342,0.983979372430523,1.967958744861046
1120,0,1,1,0,0.17113677648217232,-0.029449964214774266,0.01283774439228837,0.5165426460428855,7.370223791792518,0.983979372430523,1.967958744861046
1140,0,1,1,0,0.1926283106939473,-0.034062343325205816,0.010918077420693003,0.5183648171360623,7.103517889386566,0.983979372430523,1.967958744861046
1160,0,1,1,0,0.21108198137550369,-0.0385402939281372,0.008970830437975258,0.5195885007578315,7.2821893761213365,0.983979372430523,1.967958744861046
1180,0,1,1,0,0.22620676311650484,-0.042866143598319716,0.007000922359011052,0.5202153528074827,7.603538393361934,0.983979372430523,1.967958744861046
1200,1,0,0,1,0.23776412907378838,-0.047022820183397845,0.005013329342572182,0.5050213164739407,9.776683994168852,0.983979372430523,1.967958744861046
1220,1,0,0,1,0.24557181268217215,-0.050993919179895174,0.003013072221117322,0.5085736190506388,9.813564348093575,0.983979372430523,1.967958744861046
1240,1,0,0,1,0.2495066821070679,-0.0547637684742951,0.0010052038177335125,0.5118225692368064,9.792890820252204,0.983979372430523,1.967958744861046
1260,1,0,0,1,0.2495066821070679,-0.058317490193712906,-0.0010052038177335027,0.514638503140377,9.71513395041769,0.983979372430523,1.967958744861046
1280,1,0,0,1,0.24557181268217215,-0.06164105942206315,-0.003013072221117312,0.5169291252836271,9.581418459141107,0.983979372430523,1.967958744861046
1300,1,0,0,1,0.2377641290737884,-0.06472135954999579,-0.0050133293425721715,0.5186401270316622,9.39384351165928,0.983979372430523,1.967958744861046
1320,1,0,0,1,0.2262067631165048,-0.06754623404016123,-0.007000922359011044,0.5197510781798447,9.155975503282123,0.983979372430523,1.967958744861046
1340,1,0,0,1,0.21108198137550377,-0.07010453440350908,-0.008970830437975249,0.5202679051265963,8.873378090379006,0.983979372430523,1.967958744861046
1360,1,0,0,1,0.19262831069394715,-0.07238616419728158,-0.010918077420693008,0.5202138395766899,8.554025638417487,0.983979372430523,1.967958744861046
1380,1,0,0,1,0.1711367764821721,-0.07438211887106012,-0.01283774439228838,0.5196208523938061,8.208463089987726,0.983979372430523,1.967958744861046
1400,0,1,1,0,0.14694631307311834,-0.07608452130361229,-0.014724982107387133,0.4974546286489027,9.682117604516183,0.983979372430523,1.967958744861046
1420,0,1,1,0,0.12043841852542905,-0.07748665289029048,-0.016575023239731347,0.49429114917033873,9.571560628645797,0.983979372430523,1.967958744861046
1440,0,1,1,0,0.0920311381711695,-0.0785829800582951,-0.01838319442485951,0.4923096789251205,9.405742468943588,0.983979372430523,1.967958744861046
1460,0,1,1,0,0.06217247179121387,-0.07936917610515823,-0.02014492806543043,0.4954945176632129,9.2609979816567,0.983979372430523,1.967958744861046
1480,0,1,1,0,0.031333308391075974,-0.07984213827426173,-0.02185577386937076,0.4990264036621894,9.407782842916346,0.983979372430523,1.967958744861046
1500,0,1,1,0,9.184850993605148e-17,-0.08,-0.023511410091698923,0.502717708207495,9.50268866460589,0.983979372430523,1.967958744861046
1520,0,1,1,0,-0.031333308391075794,-0.07984213827426173,-0.025107654451628016,0.5063793315973864,9.543552544948573,0.983979372430523,1.967958744861046
1540,0,1,1,0,-0.06217247179121369,-0.07936917610515823,-0.02664047469737006,0.5098352611418765,9.529285726522195,0.983979372430523,1.967958744861046
1560,0,1,1,0,-0.09203113817116931,-0.0785829800582951,-0.028105998791953964,0.5129350910261186,9.459646745257094,0.983979372430523,1.967958744861046
1580,0,1,1,0,-0.12043841852542889,-0.07748665289029048,-0.02950052469432696,0.5155627690112397,9.335239733713742,0.983979372430523,1.967958744861046
1600,1,0,0,1,-0.1469463130731182,-0.07608452130361229,-0.030820529711031577,0.5145274232544131,8.888324109894205,0.983979372430523,1.967958744861046
1620,1,0,0,1,-0.1711367764821723,-0.0743821188710601,-0.03206267939483506,0.5120520675938132,9.0855833495366,0.983979372430523,1.967958744861046
1640,1,0,0,1,-0.1926283106939473,-0.07238616419728157,-0.03322383596783251,0.509234982990902,9.235638422476853,0.983979372430523,1.967958744861046
1660,1,0,0,1,-0.2110819813755039,-0.07010453440350907,-0.0343010662477461,0.506143680125996,9.334740631749598,0.983979372430523,1.967958744861046
1680,1,0,0,1,-0.22620676311650473,-0.06754623404016125,-0.035291649057398136,0.502868031420624,9.380698680248422,0.983979372430523,1.967958744861046
1700,1,0,0,1,-0.23776412907378836,-0.0647213595499958,-0.03619308209864078,0.4995220170245863,9.372530902317338,0.983979372430523,1.967958744861046
1720,1,0,0,1,-0.24557181268217212,-0.06164105942206317,-0.03700308827337832,0.4962414462110729,9.310256437689246,0.983979372430523,1.967958744861046
1740,1,0,0,1,-0.2495066821070679,-0.05831749019371293,-0.03771962143571457,0.49317752915628643,9.194888023736086,0.983979372430523,1.967958744861046
1760,1,0,0,1,-0.2495066821070679,-0.054763768474295114,-0.03834087156069504,0.49345192591435866,9.02863023602455,0.983979372430523,1.967958744861046
1780,1,0,0,1,-0.24557181268217215,-0.050993919179895174,-0.03886526931658695,0.4967881789457809,9.051582566064395,0.983979372430523,1.967958744861046
1800,0,1,1,0,-0.23776412907378844,-0.04702282018339787,-0.03929149002914755,0.520113700032732,7.007434012033424,0.983979372430523,1.967958744861046
1820,0,1,1,0,-0.2262067631165048,-0.04286614359831971,-0.039618457027866046,0.5203058030249652,7.352821794589109,0.983979372430523,1.967958744861046
1840,0,1,1,0,-0.21108198137550377,-0.03854029392813723,-0.0398453443657269,0.5199443968232077,7.712004874817525,0.983979372430523,1.967958744861046
1860,0,1,1,0,-0.19262831069394715,-0.03406234332520578,-0.03997157890562358,0.5190633774788834,8.069045461109262,0.983979372430523,1.967958744861046
1880,0,1,1,0,-0.17113677648217213,-0.02944996421477423,-0.039996841768152644,0.5176968632923248,8.40931626964612,0.983979372430523,1.967958744861046
1900,0,1,1,0,-0.14694631307311837,-0.02472135954999581,-0.039921069137130866,0.5158782345558551,8.720278715672748,0.983979372430523,1.967958744861046
1920,0,1,1,0,-0.12043841852542908,-0.01989519097318843,-0.03974445242080034,0.5136426963054015,8.991946343295744,0.983979372430523,1.967958744861046
1940,0,1,1,0,-0.09203113817116952,-0.014990505166857975,-0.039467437768314725,0.5110325245319398,9.216996965866947,0.983979372430523,1.967958744861046
1960,0,1,1,0,-0.0621724717912139,-0.010026658685144373,-0.03909072494272774,0.5081035750642763,9.390567549649084,0.983979372430523,1.967958744861046
1980,0,1,1,0,-0.031333308391076,-0.0050232415623450615,-0.03861526555333096,0.5049313146984918,9.509829188737411,0.983979372430523,1.967958744861046
2000,1,0,0,1,-1.2246467991473532e-16,-1.959434878635765e-17,-0.038042260651806145,0.5198177436840354,8.104218165036304,0.983979372430523,1.967958744861046
2020,1,0,0,1,0.03133330839107576,0.0050232415623450224,-0.037373157698264485,0.5188431266752279,7.799730784541525,0.983979372430523,1.967958744861046
2040,1,0,0,1,0.062172471791213664,0.010026658685144334,-0.03660964690483671,0.5173892976272241,7.497963976030338,0.983979372430523,1.967958744861046
2060,1,0,0,1,0.09203113817116929,0.014990505166857937,-0.03575365696605055,0.5168025619598249,7.213403024305745,0.983979372430523,1.967958744861046
2080,1,0,0,1,0.12043841852542886,0.01989519097318839,-0.034807350186781036,0.5185507075681361,6.960467276636242,0.983979372430523,1.967958744861046
2100,1,0,0,1,0.14694631307311817,0.024721359549995773,-0.0337731170200806,0.5196992173226869,7.219000634983986,0.983979372430523,1.967958744861046
2120,1,0,0,1,0.17113677648217226,0.029449964214774256,-0.032653570028687365,0.5202526299572311,7.55559936368296,0.983979372430523,1.967958744861046
2140,1,0,0,1,0.19262831069394729,0.0340623433252058,-0.03145153728546475,0.5202333612301002,7.907961500005774,0.983979372430523,1.967958744861046
2160,1,0,0,1,0.21108198137550388,0.03854029392813725,-0.03017005522944414,0.5196730521150897,8.26044982477511,0.983979372430523,1.967958744861046
2180,1,0,0,1,0.2262067631165049,0.042866143598319736,-0.028812360995516272,0.5186060313363537,8.598428315043979,0.983979372430523,1.967958744861046
2200,0,1,1,0,0.2377641290737885,0.04702282018339789,-0.027381884237147533,0.5149550294696276,9.670665953218304,0.983979372430523,1.967958744861046
2220,0,1,1,0,0.2455718126821722,0.05099391917989519,-0.025882238462777773,0.5171754176120312,9.544021140296376,0.983979372430523,1.967958744861046
2240,0,1,1,0,0.24950668210706792,0.05476376847429514,-0.024317211907784204,0.5188119072420939,9.364144654122363,0.983979372430523,1.967958744861046
2260,0,1,1,0,0.2495066821070679,0.05831749019371294,-0.022690757965070262,0.5198478249908419,9.134743918428056,0.983979372430523,1.967958744861046
2280,0,1,1,0,0.24557181268217215,0.06164105942206314,-0.021006985198451816,0.5202917643939197,8.86152613378213,0.983979372430523,1.967958744861046
2300,0,1,1,0,0.2377641290737883,0.06472135954999582,-0.019270146964068584,0.5201684873201763,8.552583120064186,0.983979372430523,1.967958744861046
2320,0,1,1,0,0.226206763116505,0.06754623404016118,-0.017484630666037334,0.5195105495090185,8.21852008703189,0.983979372430523,1.967958744861046
2340,0,1,1,0,0.21108198137550405,0.07010453440350906,-0.015654946673488133,0.5183523103220838,7.872246827146863,0.983979372430523,1.967958744861046
2360,0,1,1,0,0.19262831069394745,0.07238616419728156,-0.013785716926980702,0.5167273537850687,7.52841945967067,0.983979372430523,1.967958744861046
2380,0,1,1,0,0.17113677648217246,0.0743821188710601,-0.011881663263081401,0.517527650819072,7.202591424028327,0.983979372430523,1.967958744861046
2399,0,1,1,0,0.14821420504026486,0.07600648152806173,-0.010044936566663266,0.5189899892987009,7.044689868025676,0.983979372430523,1.967958744861046
