period_steps,half_period_steps,ramp_alpha,base_qdd_z_ref,total_steps,trot_FR_RL_steps,trot_FL_RR_steps,transition_count,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p20,roll_margin_to_0p12,max_abs_pitch,pitch_margin_to_0p20,z_margin_to_0p22,max_tau_pd_abs,max_tau_wbc_abs,max_tau_total_abs,max_cmd_step_jump_norm,max_cmd_step_jump_abs,max_dyn_res_norm,max_stance_acc_res_norm,max_swing_acc_error_norm,qp_fail_steps,saturation_steps,pass,strict_roll_pass,recommended
400,200,0.1,0.03,1200,600,600,5,0.284805846483,0.298347169333,0.283994041366,0.324702393607,0.013541322850,0.094294553019,0.070709880300,0.157952208475,0.042047791525,-0.037952208475,0.124850842279,0.075149157721,0.063994041366,18.234543685742,10.777688187280,11.534417765156,2.308375686234,1.227246743811,1.072873003446e-07,4.211225931120e-09,6.560330560457e-01,0,0,True,False,False
400,200,0.1,0.05,1200,600,600,5,0.284805846483,0.298317321488,0.284005017980,0.320796892345,0.013511475004,0.001920050393,0.005485519203,0.197094770662,0.002905229338,-0.077094770662,0.091558854059,0.108441145941,0.064005017980,18.693267125413,10.816785097956,11.503635292455,2.326734513304,1.249272693988,1.040318070273e-07,4.944584874501e-09,6.828012194388e-01,0,0,True,False,False
400,200,0.15,0.03,1200,600,600,5,0.284805846483,0.305351175409,0.284525843843,0.325211798729,0.020545328926,0.035555928490,0.020598258923,0.120328259514,0.079671740486,-0.000328259514,0.083327623789,0.116672376211,0.064525843843,17.914484841257,10.664068495997,11.423881519983,3.444357031147,1.782238605127,1.039101885248e-07,3.750277847245e-09,5.967141996034e-01,0,0,True,False,True
400,200,0.15,0.05,1200,600,600,5,0.284805846483,0.303837282682,0.284530510550,0.323400971073,0.019031436199,0.069847962480,0.043335455293,0.155016182309,0.044983817691,-0.035016182309,0.103913981993,0.096086018007,0.064530510550,18.319590935064,10.215344552594,11.462521187192,3.440321289292,1.762863365261,9.667818669627e-08,3.814069228250e-09,6.007343007476e-01,0,0,True,False,False
400,200,0.2,0.03,1200,600,600,5,0.284805846483,0.307640873622,0.284602327802,0.322306565760,0.022835027139,-0.083009784835,-0.032267439972,0.209898482299,-0.009898482299,-0.089898482299,0.112462267169,0.087537732831,0.064602327802,18.353857827191,10.687995497165,11.437677753044,4.613508826600,2.374743684157,1.136606953358e-07,4.212227428095e-09,7.402932972097e-01,0,0,False,False,False
400,200,0.2,0.05,1200,600,600,5,0.284805846483,0.306167691855,0.284602787921,0.324781172497,0.021361845372,0.047401678133,0.035868317312,0.148607466957,0.051392533043,-0.028607466957,0.067919909731,0.132080090269,0.064602787921,18.430845082537,10.264344153432,11.413605129606,4.585214741716,2.277670654797,9.745131047022e-08,3.725303596518e-09,6.383111519946e-01,0,0,True,False,False
600,300,0.1,0.03,1200,600,600,3,0.284805846483,0.306402492088,0.283994041366,0.320226770034,0.021596645604,0.084179886264,0.049507992015,0.157952208475,0.042047791525,-0.037952208475,0.092279558378,0.107720441622,0.063994041366,18.832388296350,9.924659054232,11.664011266291,2.263395375443,1.142799307234,1.001578131848e-07,3.531348432516e-09,6.518727487998e-01,0,0,True,False,False
600,300,0.1,0.05,1200,600,600,3,0.284805846483,0.309037267334,0.284005017980,0.320648040171,0.024231420851,0.017067359369,-0.002437395622,0.187297432084,0.012702567916,-0.067297432084,0.099870722006,0.100129277994,0.064005017980,18.693267125413,10.623867969007,11.292716167882,2.306358157236,1.208835502808,1.073445369491e-07,4.747203353447e-09,7.354106014213e-01,0,0,True,False,False
600,300,0.15,0.03,1200,600,600,3,0.284805846483,0.303927000485,0.284525843843,0.325211798729,0.019121154002,0.086244727752,0.045034849880,0.167044349317,0.032955650683,-0.047044349317,0.103819864634,0.096180135366,0.064525843843,18.303255699974,10.377153071862,11.673630594639,3.472054571924,1.795887789278,1.027335139204e-07,3.796835221394e-09,6.819716601925e-01,0,0,True,False,False
600,300,0.15,0.05,1200,600,600,3,0.284805846483,0.306169146770,0.284530510550,0.323400971073,0.021363300287,-0.018153361489,0.003502920418,0.170860233368,0.029139766632,-0.050860233368,0.101117246764,0.098882753236,0.064530510550,17.854507245303,10.734030570612,11.578314642142,3.463647933299,1.791470926679,1.011533539258e-07,3.945467000251e-09,7.259486250757e-01,0,0,True,False,False
600,300,0.2,0.03,1200,600,600,3,0.284805846483,0.303872259916,0.284602327802,0.322306565760,0.019066413433,0.037826442965,0.020978327317,0.143382869131,0.056617130869,-0.023382869131,0.113123784844,0.086876215156,0.064602327802,18.935580027979,10.531198117712,11.604504999049,4.564933348566,2.323253820919,1.026702395407e-07,3.910476225824e-09,6.720668548079e-01,0,0,True,False,False
600,300,0.2,0.05,1200,600,600,3,0.284805846483,0.302011318357,0.284602787921,0.324781172497,0.017205471873,0.077998509891,0.051344685994,0.157499236834,0.042500763166,-0.037499236834,0.096746941288,0.103253058712,0.064602787921,19.033515950887,10.822447623342,11.593776613475,4.576116465748,2.363273333959,1.085196085385e-07,4.284022748257e-09,6.895937830969e-01,0,0,True,False,False
