trace_case_id,perturbation_id,perturbation_type,perturb_vx,perturb_vy,perturb_yawrate,scale,scale_tag,control_mode,phase,trace_step_index,time,dt_from_previous_trace,qpos_size,qvel_size,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qvel_0,qvel_1,qvel_2,qvel_3,qvel_4,qvel_5,base_x,base_y,base_z,base_vx_fd,base_vy_fd,base_vz_fd
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,before_injection,-3,0.0,0.0,19,18,0.0,0.0,0.445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_injection,-2,0.0,0.0,19,18,0.0,0.0,0.445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_forward,-1,0.0,0.0,19,18,0.0,0.0,0.445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.0,0.0,0.0
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,1,0.002,0.002,19,18,-3.3035746139459765e-05,1.5932404075757588e-07,0.28489432677185106,0.999999974439398,-6.77449167538463e-06,0.00021669037138074938,-6.419184221207768e-05,-0.016517873069729884,7.966202037878794e-05,0.04424014427400534,-0.006774491733104659,0.21669037322699486,-0.06419184275900507,-3.3035746139459765e-05,1.5932404075757588e-07,0.28489432677185106,-0.016517873069729884,7.966202037878794e-05,-80.05283661407448
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,2,0.004,0.002,19,18,-2.5830204268483355e-05,2.7773893983809703e-07,0.28482875046808753,0.9999999837514314,2.7475538918387364e-05,0.00016932811795668346,5.54095659098331e-05,0.003602770935488206,5.920744954026058e-05,-0.032788151881767286,0.03422715367924833,-0.04736086603734857,0.11960850681249958,-2.5830204268483355e-05,2.7773893983809703e-07,0.28482875046808753,0.003602770935488205,5.920744954026057e-05,-0.032788151881762984
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,3,0.006,0.002,19,18,-5.6390631701374465e-05,5.320696195042975e-07,0.28484709120057405,0.9999999377913551,2.932315354865577e-05,0.0003474392723176215,-5.332345124605588e-05,-0.015280213716445553,0.00012716533983310024,0.00917036624326923,0.0018758964955426158,0.17810807066821455,-0.10873759447860191,-5.6390631701374465e-05,5.320696195042975e-07,0.28484709120057405,-0.015280213716445555,0.00012716533983310027,0.00917036624326073
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,4,0.008,0.002,19,18,-4.751346330888217e-05,1.251376821968158e-06,0.2847171073298113,0.9999999034964046,1.655557202832432e-05,0.0002700602803170053,-0.0003461221452987902,0.004438584196246147,0.00035965360123193016,-0.06499193538136286,-0.012661724034233334,-0.07738824304922914,-0.2928008491138532,-4.751346330888217e-05,1.251376821968158e-06,0.2847171073298113,0.0044385841962461476,0.00035965360123193016,-0.06499193538136994
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,5,0.01,0.002,19,18,-7.683752547614768e-05,1.6461103753318246e-06,0.28467747309873265,0.9999998294245185,2.089864556601891e-05,0.0004226944179079832,-0.00040254640665510433,-0.014662031083632756,0.00019736677668183328,-0.019817115539345502,0.004305482260580272,0.15263471263724637,-0.05642563585210286,-7.683752547614768e-05,1.6461103753318246e-06,0.28467747309873265,-0.014662031083632758,0.00019736677668183333,-0.019817115539333408
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,6,0.012,0.002,19,18,-6.611403594772259e-05,-2.405173436245471e-06,0.2844996974173896,0.9999999037279897,-0.00014026299947913112,0.00030144765129189893,-0.0002863557504067895,0.0053617447642125456,-0.002025641905788648,-0.08888784067151712,-0.16116192625449063,-0.12130922525108534,0.116125079153589,-6.611403594772259e-05,-2.405173436245471e-06,0.2844996974173896,0.0053617447642125456,-0.002025641905788648,-0.08888784067151434
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,7,0.014,0.002,19,18,-9.526054214956513e-05,-5.9358752897189275e-06,0.28441577448622396,0.999999782793545,-0.0003135705267036894,0.0004140079987091997,-0.00040581247515092476,-0.01457325310092127,-0.001765350926736728,-0.04196146558284158,-0.1733037515018387,0.11252750185635244,-0.11949320410384442,-9.526054214956513e-05,-5.9358752897189275e-06,0.28441577448622396,-0.014573253100921267,-0.001765350926736728,-0.041961465582829316
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,8,0.016,0.002,19,18,-8.22390596106938e-05,1.637418664858653e-05,0.2841658565494437,0.9999996284880948,0.0005084908814458463,0.0003215120389081336,-0.0006173254449780016,0.006510741269435658,0.011155030969152728,-0.12495896839011933,0.8221863851889444,-0.0920959600093954,-0.2112016761763575,-8.22390596106938e-05,1.637418664858653e-05,0.2841658565494437,0.006510741269435662,0.011155030969152728,-0.12495896839012643
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,9,0.018000000000000002,0.0020000000000000018,19,18,-0.00010833538119165242,-6.2137407636354256e-06,0.2840241664198026,0.9999994893823153,-0.00048338424316015776,0.0004300455151980202,-0.000776296101449702,-0.01304816079047931,-0.011293963706110978,-0.07084506482054193,-0.9918907436400606,0.10784035415914958,-0.15934479847407984,-0.00010833538119165242,-6.2137407636354256e-06,0.2840241664198026,-0.013048160790479296,-0.011293963706110967,-0.07084506482055157
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,10,0.020000000000000004,0.0020000000000000018,19,18,-8.07186820955368e-05,1.9442055263236893e-06,0.2837727337607299,0.9999991741016998,0.0007712540703991633,0.000357963507097247,-0.000963755780803719,0.013808349548057812,0.0040789731449795575,-0.12571632953633577,1.2547744313227451,-0.07101726893166133,-0.18695517041699225,-8.07186820955368e-05,1.9442055263236893e-06,0.2837727337607299,0.013808349548057798,0.004078973144979554,-0.1257163295363405
stage25_6_stabilized_primary_mpc_wbc_smoke,nominal,none,0.0,0.0,0.0,0.0,stab0p05,stabilized_primary_mpc_wbc,after_mj_step,11,0.022000000000000006,0.0020000000000000018,19,18,-8.029540349940575e-05,-2.1258219166834074e-05,0.2835581064318103,0.9999991008010042,-0.0005262021867012515,0.00019649955890817695,-0.0012177423230729822,0.0002116392980655215,-0.011601212346578882,-0.10731366445981862,-1.2972089828086888,-0.16291015588632712,-0.2543263906056877,-8.029540349940575e-05,-2.1258219166834074e-05,0.2835581064318103,0.00021163929806552358,-0.011601212346578871,-0.10731366445981817
