time,leg,phase,state,contact,swing_phase,foot_x,foot_y,foot_z,foothold_x,foothold_y,foothold_z
0.12,FR,0.24,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.12,FL,0.74,swing,0,0.48,0.197030304,0.12675,0.078904,0.2071,0.12675,0.019
0.12,RR,0.74,swing,0,0.48,-0.179169696,-0.12675,0.078904,-0.16909999999999997,-0.12675,0.019
0.12,RL,0.24,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.13,FR,0.26,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.13,FL,0.76,swing,0,0.52,0.198169696,0.12675,0.07890399999999999,0.2071,0.12675,0.019
0.13,RR,0.76,swing,0,0.52,-0.17803030399999997,-0.12675,0.07890399999999999,-0.16909999999999997,-0.12675,0.019
0.13,RL,0.26,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.14,FR,0.28,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.14,FL,0.78,swing,0,0.56,0.199301792,0.12675,0.078136,0.2071,0.12675,0.019
0.14,RR,0.78,swing,0,0.56,-0.176898208,-0.12675,0.078136,-0.16909999999999997,-0.12675,0.019
0.14,RL,0.28,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.15,FR,0.3,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.15,FL,0.8,swing,0,0.6000000000000001,0.200412,0.12675,0.07659999999999999,0.2071,0.12675,0.019
0.15,RR,0.8,swing,0,0.6000000000000001,-0.17578799999999997,-0.12675,0.07659999999999999,-0.16909999999999997,-0.12675,0.019
0.15,RL,0.3,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.16,FR,0.32,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.16,FL,0.8200000000000001,swing,0,0.6400000000000001,0.201485728,0.12675,0.07429599999999999,0.2071,0.12675,0.019
0.16,RR,0.8200000000000001,swing,0,0.6400000000000001,-0.17471427199999998,-0.12675,0.07429599999999999,-0.16909999999999997,-0.12675,0.019
0.16,RL,0.32,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.17,FR,0.34,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.17,FL,0.8400000000000001,swing,0,0.6800000000000002,0.202508384,0.12675,0.07122399999999998,0.2071,0.12675,0.019
0.17,RR,0.8400000000000001,swing,0,0.6800000000000002,-0.17369161599999997,-0.12675,0.07122399999999998,-0.16909999999999997,-0.12675,0.019
0.17,RL,0.34,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.18,FR,0.36,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.18,FL,0.86,swing,0,0.72,0.20346537599999998,0.12675,0.067384,0.2071,0.12675,0.019
0.18,RR,0.86,swing,0,0.72,-0.172734624,-0.12675,0.067384,-0.16909999999999997,-0.12675,0.019
0.18,RL,0.36,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.19,FR,0.38,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.19,FL,0.88,swing,0,0.76,0.20434211200000002,0.12675,0.062776,0.2071,0.12675,0.019
0.19,RR,0.88,swing,0,0.76,-0.171857888,-0.12675,0.062776,-0.16909999999999997,-0.12675,0.019
0.19,RL,0.38,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.2,FR,0.4,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.2,FL,0.9,swing,0,0.8,0.205124,0.12675,0.05739999999999999,0.2071,0.12675,0.019
0.2,RR,0.9,swing,0,0.8,-0.17107599999999998,-0.12675,0.05739999999999999,-0.16909999999999997,-0.12675,0.019
0.2,RL,0.4,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.21,FR,0.42,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.21,FL,0.9199999999999999,swing,0,0.8399999999999999,0.20579644800000002,0.12675,0.051256000000000024,0.2071,0.12675,0.019
0.21,RR,0.9199999999999999,swing,0,0.8399999999999999,-0.17040355199999996,-0.12675,0.051256000000000024,-0.16909999999999997,-0.12675,0.019
0.21,RL,0.42,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.22,FR,0.44,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.22,FL,0.94,swing,0,0.8799999999999999,0.20634486400000002,0.12675,0.04434400000000002,0.2071,0.12675,0.019
0.22,RR,0.94,swing,0,0.8799999999999999,-0.16985513599999996,-0.12675,0.04434400000000002,-0.16909999999999997,-0.12675,0.019
0.22,RL,0.44,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.23,FR,0.46,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.23,FL,0.96,swing,0,0.9199999999999999,0.206754656,0.12675,0.036664000000000016,0.2071,0.12675,0.019
0.23,RR,0.96,swing,0,0.9199999999999999,-0.16944534399999997,-0.12675,0.036664000000000016,-0.16909999999999997,-0.12675,0.019
0.23,RL,0.46,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
0.24,FR,0.48,stance,1,0.0,0.1881,-0.12675,0.019,0.2071,-0.12675,0.019
0.24,FL,0.98,swing,0,0.96,0.20701123200000002,0.12675,0.028216000000000005,0.2071,0.12675,0.019
0.24,RR,0.98,swing,0,0.96,-0.16918876799999996,-0.12675,0.028216000000000005,-0.16909999999999997,-0.12675,0.019
0.24,RL,0.48,stance,1,0.0,-0.1881,0.12675,0.019,-0.16909999999999997,0.12675,0.019
