alpha,step,tau12_max_abs,ctrl_max_abs,jacobian_norm_min,jacobian_norm_max,qpos_finite,qvel_finite,base_z,qvel_max_abs,ncon
0.0,0,9.556731969930048,0.0,0.48818649280932475,0.513291339934702,1,1,0.2700557124074452,4.145868117203988,0
0.0,10,9.524953764111032,0.0,0.4892133068322894,0.514638503140377,1,1,0.2708150142780295,17.043649265211386,0
0.0,20,9.47972552793716,0.0,0.4904115908391636,0.515853735343299,1,1,0.2684440667131083,17.40588421558903,0
0.0,30,9.421316665987554,0.0,0.49176548960591704,0.516929125283627,1,1,0.2608838956841752,10.278229523713435,0
0.0,40,9.350071381880708,0.0,0.49325682954188454,0.5178590739274037,1,1,0.2477615924396505,8.602968702186624,0
0.0,50,9.266421741546838,0.0,0.4948654495675204,0.5186401270316622,1,1,0.22953275760305167,3.330633113083209,0
0.0,60,9.17090151466477,0.0,0.4965695804415652,0.5192707526381977,1,1,0.20708626468703334,1.2090515466847065,0
0.0,70,9.064159693491302,0.0,0.4983462646698096,0.5197510781798447,1,1,0.18084777258294463,1.396151693651795,0
0.0,80,8.946972568481028,0.0,0.5001718069347941,0.5200826033193743,1,1,0.15084612998299016,1.5857992240152112,0
0.0,90,8.820253287873069,0.0,0.5020222428906538,0.5202679051265963,1,1,0.11698789357966922,1.7816421730023093,0
0.0,100,8.685057941985797,0.0,0.5038738123837954,0.5203103517632792,1,1,0.07915855314662264,1.9812448537344265,0
0.0,110,8.542587386043104,0.0,0.5057034219048864,0.5202138395766899,1,1,0.037358571210757384,2.1788863057701127,0
0.0,120,8.39418423732857,0.0,0.5074890805433095,0.5199825665317559,1,1,-0.008385827406975159,2.375701749886339,0
0.0,130,8.241324738866046,0.0,0.5092102940445404,0.5196208523938061,1,1,-0.058055045960530835,2.571511214687888,0
0.0,140,8.085605455339087,0.0,0.5108484028356494,0.5191330131701275,1,1,-0.11163737999117097,2.767260036193561,0
0.0,150,7.928725038786465,0.0,0.5123868520718958,0.5185232941847551,1,1,-0.16913979026854845,2.963389548697533,0
0.0,160,7.772461553102932,0.0,0.5138113847681016,0.5177958629389131,1,1,-0.23056564837455515,3.1595803106131672,0
0.0,170,7.618646060771207,0.0,0.515110152731548,0.5169548597255178,1,1,-0.29591544668606934,3.3557800136797376,0
0.0,180,7.469133339262789,0.0,0.51600450093303,0.5162737440644299,1,1,-0.3651892577276079,3.551981057358956,0
0.0,190,7.32577069960432,0.0,0.5149492271960929,0.5172951301704448,1,1,-0.4383870924813742,3.7481823023213394,0
0.0,199,7.203498108732945,0.0,0.513913773432237,0.5180888045210316,1,1,-0.5076201852387432,3.924763431192304,0
0.00025,0,9.556731969930048,0.002389182992482512,0.48818649280932475,0.513291339934702,1,1,0.2700555480536816,4.14660088469144,0
0.00025,10,9.524953764111032,0.002381238441027758,0.4892133068322894,0.514638503140377,1,1,0.27080812588608266,17.043546579292183,0
0.00025,20,9.47972552793716,0.00236993138198429,0.4904115908391636,0.515853735343299,1,1,0.26843085507668896,17.405605905998232,0
0.00025,30,9.421316665987554,0.0023553291664968885,0.49176548960591704,0.516929125283627,1,1,0.26086835037502404,10.278429808977393,0
0.00025,40,9.350071381880708,0.0023375178454701773,0.49325682954188454,0.5178590739274037,1,1,0.24774717761848852,8.60271340807376,0
0.00025,50,9.266421741546838,0.0023166054353867096,0.4948654495675204,0.5186401270316622,1,1,0.2295203826396044,3.3307187829681983,0
0.00025,60,9.17090151466477,0.0022927253786661924,0.4965695804415652,0.5192707526381977,1,1,0.20707517613507354,1.2090124113715945,0
0.00025,70,9.064159693491302,0.0022660399233728253,0.4983462646698096,0.5197510781798447,1,1,0.1808368096840377,1.3961696613237766,0
0.00025,80,8.946972568481028,0.002236743142120257,0.5001718069347941,0.5200826033193743,1,1,0.15083447155858212,1.5858405387179153,0
0.00025,90,8.820253287873069,0.0022050633219682673,0.5020222428906538,0.5202679051265963,1,1,0.11697564064845792,1.7816608032876688,0
0.00025,100,8.685057941985797,0.002171264485496449,0.5038738123837954,0.5203103517632792,1,1,0.07914613872951316,1.9812446996683244,0
0.00025,110,8.542587386043104,0.002135646846510776,0.5057034219048864,0.5202138395766899,1,1,0.037346286751617344,2.1788763487479663,0
0.00025,120,8.39418423732857,0.0020985460593321427,0.5074890805433095,0.5199825665317559,1,1,-0.00839792602612958,2.3756951129308947,0
0.00025,130,8.241324738866046,0.0020603311847165115,0.5092102940445404,0.5196208523938061,1,1,-0.05806713663703995,2.5715146493015872,0
0.00025,140,8.085605455339087,0.0020214013638347717,0.5108484028356494,0.5191330131701275,1,1,-0.11164952756690436,2.7672616346346826,0
0.00025,150,7.928725038786465,0.001982181259696616,0.5123868520718958,0.5185232941847551,1,1,-0.16915196231513535,2.9633906683942066,0
0.00025,160,7.772461553102932,0.001943115388275733,0.5138113847681016,0.5177958629389131,1,1,-0.23057784441614268,3.159581609732632,0
0.00025,170,7.618646060771207,0.0019046615151928018,0.515110152731548,0.5169548597255178,1,1,-0.2959276718803875,3.355781607856386,0
0.00025,180,7.469133339262789,0.0018672833348156973,0.51600450093303,0.5162737440644299,1,1,-0.36520151831320136,3.5519829722254803,0
0.00025,190,7.32577069960432,0.0018314426749010799,0.5149492271960929,0.5172951301704448,1,1,-0.4383993949601587,3.748184544396127,0
0.00025,199,7.203498108732945,0.0018008745271832364,0.513913773432237,0.5180888045210316,1,1,-0.5076325310173542,3.924765967089531,0
0.0005,0,9.556731969930048,0.004778365984965024,0.48818649280932475,0.513291339934702,1,1,0.270055383699918,4.147333652178893,0
0.0005,10,9.524953764111032,0.004762476882055516,0.4892133068322894,0.514638503140377,1,1,0.2708011044551793,17.04355470295094,0
0.0005,20,9.47972552793716,0.00473986276396858,0.4904115908391636,0.515853735343299,1,1,0.26841735779286563,17.40576836503608,0
0.0005,30,9.421316665987554,0.004710658332993777,0.49176548960591704,0.516929125283627,1,1,0.26085263489299454,10.278901830385339,0
0.0005,40,9.350071381880708,0.0046750356909403545,0.49325682954188454,0.5178590739274037,1,1,0.24773276567241903,8.602447015824984,0
0.0005,50,9.266421741546838,0.004633210870773419,0.4948654495675204,0.5186401270316622,1,1,0.22950812190401904,3.330793158071612,0
0.0005,60,9.17090151466477,0.004585450757332385,0.4965695804415652,0.5192707526381977,1,1,0.20706418140524552,1.2089771349384946,0
0.0005,70,9.064159693491302,0.004532079846745651,0.4983462646698096,0.5197510781798447,1,1,0.18082584603885776,1.396192253456241,0
0.0005,80,8.946972568481028,0.004473486284240514,0.5001718069347941,0.5200826033193743,1,1,0.15082274340158486,1.5858839876795556,0
0.0005,90,8.820253287873069,0.004410126643936535,0.5020222428906538,0.5202679051265963,1,1,0.11696330945908658,1.7816787698358614,0
0.0005,100,8.685057941985797,0.004342528970992898,0.5038738123837954,0.5203103517632792,1,1,0.07913367052987212,1.9812432851519306,0
0.0005,110,8.542587386043104,0.004271293693021552,0.5057034219048864,0.5202138395766899,1,1,0.03733397317532406,2.178865196206729,0
0.0005,120,8.39418423732857,0.004197092118664285,0.5074890805433095,0.5199825665317559,1,1,-0.008410036680450258,2.3756874900510496,0
0.0005,130,8.241324738866046,0.004120662369433023,0.5092102940445404,0.5196208523938061,1,1,-0.058079233068900116,2.5715179367082888,0
0.0005,140,8.085605455339087,0.004042802727669543,0.5108484028356494,0.5191330131701275,1,1,-0.1116616845596102,2.7672633804346694,0
0.0005,150,7.928725038786465,0.003964362519393232,0.5123868520718958,0.5185232941847551,1,1,-0.16916414588559534,2.963391876629118,0
0.0005,160,7.772461553102932,0.003886230776551466,0.5138113847681016,0.5177958629389131,1,1,-0.23059005364533006,3.1595829894777068,0
0.0005,170,7.618646060771207,0.0038093230303856036,0.515110152731548,0.5169548597255178,1,1,-0.2959399118391224,3.3557832795262112,0
0.0005,180,7.469133339262789,0.0037345666696313945,0.51600450093303,0.5162737440644299,1,1,-0.3652137951813666,3.551984961713788,0
0.0005,190,7.32577069960432,0.0036628853498021597,0.5149492271960929,0.5172951301704448,1,1,-0.4384117151835582,3.7481868583601816,0
0.0005,199,7.203498108732945,0.0036017490543664727,0.513913773432237,0.5180888045210316,1,1,-0.507644895811704,3.9247685726191155,0
0.001,0,9.556731969930048,0.009556731969930048,0.48818649280932475,0.513291339934702,1,1,0.2700550549923908,4.148799187153797,0
0.001,10,9.524953764111032,0.009524953764111032,0.4892133068322894,0.514638503140377,1,1,0.2707868981546952,17.043559297284922,0
0.001,20,9.47972552793716,0.00947972552793716,0.4904115908391636,0.515853735343299,1,1,0.2683904455739751,17.405959670674438,0
0.001,30,9.421316665987554,0.009421316665987554,0.49176548960591704,0.516929125283627,1,1,0.2608213141441151,10.279714129158672,0
0.001,40,9.350071381880708,0.009350071381880709,0.49325682954188454,0.5178590739274037,1,1,0.24770396662931743,8.601943394753977,0
0.001,50,9.266421741546838,0.009266421741546838,0.4948654495675204,0.5186401270316622,1,1,0.22948351304182305,3.330958818784549,0
0.001,60,9.17090151466477,0.00917090151466477,0.4965695804415652,0.5192707526381977,1,1,0.20704199829995776,1.2089082006126837,0
0.001,70,9.064159693491302,0.009064159693491301,0.4983462646698096,0.5197510781798447,1,1,0.1808037619578554,1.396233818210867,0
0.001,80,8.946972568481028,0.008946972568481029,0.5001718069347941,0.5200826033193743,1,1,0.15079921803546104,1.585966618376563,0
0.001,90,8.820253287873069,0.00882025328787307,0.5020222428906538,0.5202679051265963,1,1,0.11693861327162927,1.7817147220477845,0
0.001,100,8.685057941985797,0.008685057941985796,0.5038738123837954,0.5203103517632792,1,1,0.07910868588215546,1.981240493983381,0
0.001,110,8.542587386043104,0.008542587386043105,0.5057034219048864,0.5202138395766899,1,1,0.037309300338401664,2.1788429479273725,0
0.001,120,8.39418423732857,0.00839418423732857,0.5074890805433095,0.5199825665317559,1,1,-0.008434307357626472,2.375672443597671,0
0.001,130,8.241324738866046,0.008241324738866046,0.5092102940445404,0.5196208523938061,1,1,-0.05810346533519187,2.5715240813010163,0
0.001,140,8.085605455339087,0.008085605455339087,0.5108484028356494,0.5191330131701275,1,1,-0.1116860580531467,2.7672674788769007,0
0.001,150,7.928725038786465,0.007928725038786465,0.5123868520718958,0.5185232941847551,1,1,-0.1691885776956975,2.9633944054126298,0
0.001,160,7.772461553102932,0.007772461553102932,0.5138113847681016,0.5177958629389131,1,1,-0.2306145380927323,3.1595857958684124,0
0.001,170,7.618646060771207,0.007618646060771207,0.515110152731548,0.5169548597255178,1,1,-0.2959644585667876,3.3557866616062193,0
0.001,180,7.469133339262789,0.007469133339262789,0.51600450093303,0.5162737440644299,1,1,-0.3652384164926692,3.5519889788804253,0
0.001,190,7.32577069960432,0.0073257706996043195,0.5149492271960929,0.5172951301704448,1,1,-0.4384364239766692,3.748191525271246,0
