phase,param,returncode,value,stdout,stderr
enabled_test,enable_torque_publisher,0,True,Boolean value is: True,
enabled_test,confirm_torque_publisher_enable,0,True,Boolean value is: True,
revert_false,confirm_torque_publisher_enable,0,,Set parameter successful,
revert_false,enable_torque_publisher,0,,Set parameter successful,
after_revert,enable_torque_publisher,0,False,Boolean value is: False,
after_revert,confirm_torque_publisher_enable,0,False,Boolean value is: False,
