stance_wbc_scale,swing_pd_scale,target_scale,total_steps,transition_count,trot_FR_RL_steps,trot_FL_RR_steps,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p20,max_abs_pitch,pitch_margin_to_0p20,z_margin_to_0p22,max_joint_error,max_swing_joint_error,max_stance_joint_error,max_tau_stance_wbc_abs,max_tau_swing_pd_abs,max_tau_total_raw_abs,max_tau_total_abs,max_cmd_step_jump_norm,max_cmd_step_jump_abs,max_dyn_res_norm,max_stance_acc_res_norm,max_swing_acc_error_norm,qp_fail_steps,saturation_steps,pass,pass_margin,recommended
0.0,0.5,0.35,1200,5,600,600,0.284805846483,0.142975051681,0.083969389295,0.471365678111,-0.141830794803,1.565829612631,-0.001369338464,3.129996016134,-2.929996016134,0.334877321124,-0.134877321124,-0.136030610705,0.948683403838,0.916220541155,0.948683403838,0.000000000000,37.510060945475,37.510060945475,23.700000000000,47.941328531201,23.700000000000,8.891101297187e-05,1.477450850454e-06,6.842308354162e+00,0,41,False,False,False
0.0,0.5,0.45,1200,5,600,600,0.284805846483,0.142977686443,0.078175598899,0.470950457116,-0.141828160040,1.583592745968,-0.000450449514,3.138438899231,-2.938438899231,0.332224300229,-0.132224300229,-0.141824401101,0.949914412938,0.912348206994,0.949914412938,0.000000000000,36.506825842465,36.506825842465,23.700000000000,47.955668902182,23.700000000000,1.039289616721e-05,8.005922617719e-07,7.311653605185e+00,0,39,False,False,False
0.0,0.5,0.6,1200,5,600,600,0.284805846483,0.142827155597,0.084305520495,0.470870509593,-0.141978690886,1.576799442350,-0.000585769210,3.140485741908,-2.940485741908,0.331572109789,-0.131572109789,-0.135694479505,0.947830310827,0.912081392778,0.947830310827,0.000000000000,36.800098358136,36.800098358136,23.700000000000,47.632688379931,23.700000000000,1.075802307566e-05,6.744874256253e-07,7.355255673620e+00,0,38,False,False,True
0.0,0.75,0.35,1200,5,600,600,0.284805846483,0.142666479251,0.076960359798,0.471678482945,-0.142139367233,1.569570490816,-0.000601736866,3.129233542973,-2.929233542973,0.324868701662,-0.124868701662,-0.143039640202,0.945742304223,0.916328247819,0.945742304223,0.000000000000,56.223419069704,56.223419069704,23.700000000000,48.005432018988,23.700000000000,1.056206615637e-05,5.540474245954e-07,8.085282721157e+00,0,79,False,False,False
0.0,0.75,0.45,1200,5,600,600,0.284805846483,0.142810272544,0.073732458600,0.471376919260,-0.141995573939,1.578953328767,-0.001423557886,3.133373686824,-2.933373686824,0.327323593659,-0.127323593659,-0.146267541400,0.946679309195,0.916079122424,0.946679309195,0.000000000000,54.737488016320,54.737488016320,23.700000000000,48.844970423978,23.700000000000,8.438996374375e-06,3.330212373154e-07,6.758601334906e+00,0,74,False,False,False
0.0,0.75,0.6,1200,5,600,600,0.284805846483,0.142922857778,0.076120933487,0.471316540924,-0.141882988705,1.580500851073,-0.001048954512,3.138218902904,-2.938218902904,0.321326620752,-0.121326620752,-0.143879066513,0.945638098454,0.912173120571,0.945638098454,0.000000000000,54.769349049114,54.769349049114,23.700000000000,48.241296234251,23.700000000000,8.708285585576e-06,4.678226270820e-07,7.692909394156e+00,0,77,False,False,False
0.0,1.0,0.35,1200,5,600,600,0.284805846483,0.142848135335,0.065958261866,0.471505173988,-0.141957711148,1.580758593301,-0.000912114490,3.129977012983,-2.929977012983,0.336396478633,-0.136396478633,-0.154041738134,0.948181059482,0.926724295012,0.948181059482,0.000000000000,74.855703397818,74.855703397818,23.700000000000,48.495774224934,23.700000000000,9.492069895553e-06,4.111413954788e-07,7.522623301521e+00,0,104,False,False,False
0.0,1.0,0.45,1200,5,600,600,0.284805846483,0.142773983174,0.077859914540,0.471100908437,-0.142031863309,1.567850114976,-0.000627421195,3.139176979968,-2.939176979968,0.335635501915,-0.135635501915,-0.142140085460,0.948482605336,0.912671977466,0.948482605336,0.000000000000,73.315312349533,73.315312349533,23.700000000000,48.366661284563,23.700000000000,6.166795128960e-05,9.135653224731e-07,7.070076447854e+00,0,102,False,False,False
0.0,1.0,0.6,1200,5,600,600,0.284805846483,0.142881905507,0.068910400801,0.471389355278,-0.141923940976,1.581509051856,-0.001182307264,3.130379796402,-2.930379796402,0.340171186998,-0.140171186998,-0.151089599199,0.948806748456,0.913780440304,0.948806748456,0.000000000000,74.384294717555,74.384294717555,23.700000000000,48.485399272429,23.700000000000,1.059730709205e-05,4.123770021674e-07,7.307339829788e+00,0,97,False,False,False
0.25,0.5,0.35,1200,5,600,600,0.284805846483,0.096483341736,0.056661063684,0.476387612475,-0.188322504747,2.845560234250,0.048585361155,3.140834156769,-2.940834156769,0.376672818490,-0.176672818490,-0.163338936316,2.225395356665,2.225395356665,2.217948255538,5.370942463901,90.878956361179,90.878956361179,23.700000000000,60.931813065186,26.810721718632,7.246339714090e-06,5.825800225697e-07,1.777343385564e+01,0,143,False,False,False
