scale,evidence_source,control_mode,entry_pass,limits_pass,total_steps,min_z,max_abs_roll,max_abs_pitch,max_tau_total_abs,max_tau_candidate_scaled_abs,qp_fail_steps,saturation_steps,z_margin_to_0p22,roll_margin_to_0p20,pitch_margin_to_0p20,tau_margin_to_23p7,delta_min_z_vs_baseline,delta_max_abs_roll_vs_baseline,delta_max_abs_pitch_vs_baseline,delta_max_tau_total_abs_vs_baseline,real_robot_torque_commanded,ros_publisher_used
0.00,baseline_reference,baseline,True,True,2400,0.274552192756,0.056707402709,0.04832948253,9.659563043535,0.0,0,0,0.05455219275600001,0.14329259729100002,0.15167051747000002,14.040436956465,0.0,0.0,0.0,0.0,False,False
0.02,candidate_run,mpc_assisted_candidate,True,True,2400,0.273040429683,0.090249676148,0.064958727791,9.91188550792,0.388850188946,0,0,0.05304042968300002,0.10975032385200001,0.13504127220900003,13.78811449208,-0.0015117630729999942,0.033542273439,0.016629245260999993,0.2523224643849993,False,False
0.05,candidate_run,mpc_assisted_candidate,True,True,2400,0.276975761939,0.102952660101,0.053162351948,10.019186119959,0.972125472365,0,0,0.056975761938999975,0.09704733989900001,0.146837648052,13.680813880040999,0.002423569182999963,0.046245257392,0.004832869417999999,0.3596230764240005,False,False
0.10,candidate_run,mpc_assisted_candidate,True,True,2400,0.274332281656,0.075194323645,0.077452968358,10.59512016256,1.94425094473,0,0,0.05433228165599999,0.124805676355,0.12254703164200001,13.104879837439999,-0.00021991110000002534,0.018486920936000004,0.029123485828,0.9355571190250007,False,False
