leg,fx,fy,fz,mu_fz_minus_abs_fx,mu_fz_minus_abs_fy
FR,2.083401377563818e-18,-1.4043667819558236e-18,30.686043105810846,18.411625863486506,18.411625863486506
FL,-2.083274807114785e-18,-1.4043667819558236e-18,31.118425138810057,18.671055083286035,18.671055083286035
RR,2.083401377563818e-18,1.4033163588729471e-18,31.388187301189934,18.83291238071396,18.83291238071396
RL,-2.083274807114785e-18,1.4033163588729471e-18,31.82056933418915,19.09234160051349,19.09234160051349
