policy,step,tau12_max_abs,ctrl_max_abs,qpos_finite,qvel_finite,base_z,qvel_max_abs,ncon
zero_ctrl,0,0.0,0.0,1,1,0.2700557124074452,4.145868117203988,0
zero_ctrl,10,0.0,0.0,1,1,0.2708150142780295,17.043649265211386,0
zero_ctrl,20,0.0,0.0,1,1,0.2684440667131083,17.40588421558903,0
zero_ctrl,30,0.0,0.0,1,1,0.2608838956841752,10.278229523713435,0
zero_ctrl,40,0.0,0.0,1,1,0.2477615924396505,8.602968702186624,0
zero_ctrl,50,0.0,0.0,1,1,0.22953275760305167,3.330633113083209,0
zero_ctrl,60,0.0,0.0,1,1,0.20708626468703334,1.2090515466847065,0
zero_ctrl,70,0.0,0.0,1,1,0.18084777258294463,1.396151693651795,0
zero_ctrl,80,0.0,0.0,1,1,0.15084612998299016,1.5857992240152112,0
zero_ctrl,90,0.0,0.0,1,1,0.11698789357966922,1.7816421730023093,0
zero_ctrl,100,0.0,0.0,1,1,0.07915855314662264,1.9812448537344265,0
zero_ctrl,110,0.0,0.0,1,1,0.037358571210757384,2.1788863057701127,0
zero_ctrl,120,0.0,0.0,1,1,-0.008385827406975159,2.375701749886339,0
zero_ctrl,130,0.0,0.0,1,1,-0.058055045960530835,2.571511214687888,0
zero_ctrl,140,0.0,0.0,1,1,-0.11163737999117097,2.767260036193561,0
zero_ctrl,150,0.0,0.0,1,1,-0.16913979026854845,2.963389548697533,0
zero_ctrl,160,0.0,0.0,1,1,-0.23056564837455515,3.1595803106131672,0
zero_ctrl,170,0.0,0.0,1,1,-0.29591544668606934,3.3557800136797376,0
zero_ctrl,180,0.0,0.0,1,1,-0.3651892577276079,3.551981057358956,0
zero_ctrl,190,0.0,0.0,1,1,-0.4383870924813742,3.7481823023213394,0
zero_ctrl,199,0.0,0.0,1,1,-0.5076201852387432,3.924763431192304,0
deterministic_waveform,0,17.19605680426091,0.07642691913004848,1,1,0.2700558779744881,4.1480375998606105,0
deterministic_waveform,10,16.485872377802657,0.07327054390134514,1,1,0.2708074086683963,17.04017051575272,0
deterministic_waveform,20,15.565041712487302,0.06917796316661023,1,1,0.26844056019426743,17.41702564558258,0
deterministic_waveform,30,14.445330610683548,0.06420146938081576,1,1,0.2608851835158789,10.283527525317794,0
deterministic_waveform,40,13.141046045464849,0.058404649090954885,1,1,0.24775794676703325,9.604642571738681,0
deterministic_waveform,50,13.705395338321212,0.0609128681703165,1,1,0.22951157677035194,4.755430269001244,0
deterministic_waveform,60,14.934740428567423,0.06637662412696632,1,1,0.20700144743723403,1.2117047116753903,0
deterministic_waveform,70,15.973258680688845,0.07099226080306154,1,1,0.18073981954201931,1.396077082173696,0
deterministic_waveform,80,16.807680553421264,0.07470080245965006,1,1,0.15075173431242997,1.5850005206596922,0
deterministic_waveform,90,17.42734432228428,0.0774548636545968,1,1,0.11689989761349152,1.7815779989050264,0
deterministic_waveform,100,17.824332308475363,0.07921925470433494,1,1,0.07907789819229886,1.9804200417047748,0
deterministic_waveform,110,17.99357204605238,0.07997143131578835,1,1,0.037288755660088165,2.178654234139637,0
deterministic_waveform,120,17.932901094753223,0.07970178264334767,1,1,-0.008458046130886715,2.376057929539059,0
deterministic_waveform,130,17.643094670314515,0.07841375409028672,1,1,-0.05813754045016231,2.5720957531385253,0
deterministic_waveform,140,17.127855739246332,0.07612380328553925,1,1,-0.1117283308790802,2.767463837238311,0
deterministic_waveform,150,16.39376770462588,0.07286118979833725,1,1,-0.16923021192315194,2.963226920054369,0
deterministic_waveform,160,15.450210287461484,0.0686676012776066,1,1,-0.2306523481550603,3.1594229056223715,0
deterministic_waveform,170,14.309239678442767,0.06359662079307896,1,1,-0.29600084794808257,3.3557838767043373,0
deterministic_waveform,180,12.985434491423362,0.05771304218410383,1,1,-0.3652741790128913,3.5519017845995657,0
deterministic_waveform,190,13.850944494572092,0.0615597533092093,1,1,-0.43846937275877834,3.748021147918969,0
deterministic_waveform,199,14.947354773671414,0.06643268788298407,1,1,-0.5076994554681616,3.9245990995878253,0
jtf_candidate,0,9.556731969930048,0.07999999999999999,1,1,0.2700502091449784,4.170404286756776,0
jtf_candidate,10,9.524953764111032,0.07973398265499959,1,1,0.27056979730950054,17.065186806061416,0
jtf_candidate,20,9.47972552793716,0.07935537426613878,1,1,0.2679698693978665,17.41030891839621,0
jtf_candidate,30,9.421316665987554,0.07886643003596983,1,1,0.26034559968794097,10.292605918565256,0
