step,time,base_x,base_y,base_z,qpos_norm,qvel_norm,ctrl_norm,n_contact,contact_pairs
0,0.002,0.0,0.0,0.445,0.018642830607971284,9.321786666043904,0.5,0,
1,0.004,9.966406553253955e-06,-8.525688954717908e-07,0.4449584094606298,0.05104457653139932,16.202172996471905,0.5001184149966511,0,
2,0.006,2.3869257986330254e-05,-2.736772735628627e-06,0.44487587829166475,0.09359372995004082,21.277999331466255,0.5004734171489464,0,
3,0.008,3.7270975267509526e-05,-5.913376559065895e-06,0.4447524768598393,0.14374219047649933,25.08166506685096,0.5010642797109666,0,
4,0.01,4.691563894322139e-05,-1.069609433626971e-05,0.4445878970463707,0.19973106280589478,28.008528442547192,0.5018897972981842,0,
5,0.012,5.042318922798584e-05,-1.737595219290485e-05,0.44438171366510576,0.26013089421712543,30.223835889326566,0.5029482945662216,0,
6,0.014,4.613746830269893e-05,-2.617694338789476e-05,0.44413354840324676,0.32377720453042946,31.860338440066315,0.5042376381462239,0,
7,0.016,3.3010569305180733e-05,-3.7259374342676896e-05,0.443843112363887,0.389720069612036,33.02564650086728,0.5057552516302208,0,
8,0.018000000000000002,1.0504018000577635e-05,-5.0725411158127476e-05,0.4435102160621298,0.4571847017574733,33.80781417693353,0.5074981333521409,0,
9,0.020000000000000004,-2.1497105137800793e-05,-6.662539659261019e-05,0.44313476235405647,0.5256973226268565,34.35717007158972,0.5094628766701589,0,
10,0.022000000000000006,-6.280281135518517e-05,-8.495020560843238e-05,0.4427166238562003,0.5950719571081079,34.81391029080018,0.5116456924247124,0,
11,0.024000000000000007,-0.0001122535345019203,-0.00010562679771988775,0.4422554615860626,0.6651343684451824,35.18565385630039,0.5140424332243573,0,
12,0.02600000000000001,-0.00016941860942343423,-0.00012856071655000434,0.4417510293726401,0.7357623179065361,35.49760142162261,0.5166486191987828,0,
13,0.02800000000000001,-0.0002337464143853411,-0.00015362616267268673,0.44120303765068186,0.8068706760905194,35.76749554326916,0.5194594648545456,0,
14,0.030000000000000013,-0.00030459283824050485,-0.00018067283846763768,0.44061115400487055,0.8784004361964477,36.00760805814159,0.5224699066738651,0,
15,0.032000000000000015,-0.0003812448330418617,-0.00020953242512803815,0.43997500665802,0.9503106441814627,36.226235977361384,0.5256746311093068,0,
16,0.034000000000000016,-0.0004629401206468586,-0.00024002455631910976,0.43929419000223613,1.022572510400934,36.42882181930443,0.5290681026463405,0,
17,0.03600000000000002,-0.0005488838443249567,-0.0002719621865925798,0.4385682714753016,1.0950455036225697,36.55897357639458,0.5326445916304103,0,
18,0.03800000000000002,-0.0006395992681459982,-0.00030505903906448894,0.4377972424251688,1.16723616097887,36.4481857164802,0.5363982015840573,0,
19,0.04000000000000002,-0.0007353730730798227,-0.0003389643679180898,0.4369815661044602,1.2382416804537073,35.905723355378434,0.5403228957715199,0,
20,0.04200000000000002,-0.0008361821481709916,-0.0003734367956752464,0.436122518178117,1.3067352816033082,34.725239100546055,0.5444125228019201,0,
21,0.044000000000000025,-0.0009416723196733017,-0.00040835282654901517,0.4352224977661969,1.3718046265088444,33.10998967044645,0.5486608410964708,0,
22,0.04600000000000003,-0.0010511080021903337,-0.0004437605886805781,0.43428388118493494,1.4328568882901953,31.216960771526956,0.553061542079171,0,
23,0.04800000000000003,-0.0011635386877976515,-0.00047959278516116345,0.4333084119066995,1.4895492037140128,29.16987262481566,0.5576082719832955,0,
24,0.05000000000000003,-0.0012778891801065518,-0.0005157594433892956,0.4322975362074542,1.5417633935343737,27.077396755663774,0.5622946521969951,0,
25,0.05200000000000003,-0.0013930468153252073,-0.0005522028136205704,0.4312523042520126,1.5895624235361978,25.024147567875925,0.5671142980999463,0,
26,0.054000000000000034,-0.0015079286236378215,-0.0005888628171422168,0.4301734152940778,1.6330802868729324,23.046028677745255,0.5720608363688795,0,
27,0.056000000000000036,-0.0016215031243701373,-0.0006256820458849267,0.4290613529246924,1.6725012070769034,21.16848338080886,0.5771279207527273,0,
28,0.05800000000000004,-0.0017328139828869302,-0.0006626115523124944,0.4279164104828874,1.708043172168577,19.40849139334542,0.5823092463379808,0,
29,0.06000000000000004,-0.0018409959506530686,-0.0006996104350594384,0.42673872257889267,1.7399450535307779,17.776381308636697,0.5875985623416141,0,
30,0.06200000000000004,-0.0019452851082934913,-0.0007366450873488624,0.4255282949872493,1.7684566522390937,16.27735942129851,0.5929896834827489,0,
31,0.06400000000000004,-0.0020450245545791143,-0.0007736881367477684,0.42428503170915277,1.7938311221207566,14.912755791882278,0.5984764999952112,0,
32,0.06600000000000004,-0.0021396664609074608,-0.0008107171592641816,0.4230087586089003,1.8163193076684139,13.68100732468103,0.6040529863515272,0,
33,0.06800000000000005,-0.002228771242064873,-0.0008477132778041961,0.4216992434671289,1.8361859429155665,12.584924107770549,0.6097132087749255,0,
34,0.07000000000000005,-0.0023117495382180765,-0.0008846547383906435,0.4203560824910446,1.853684222627453,11.61716313089923,0.6154513316198459,0,
35,0.07200000000000005,-0.0023883910216550438,-0.0009215142322237599,0.4189789349397904,1.869055698806284,10.769461178191557,0.6212616227035447,0,
36,0.07400000000000005,-0.002458583745847247,-0.0009582742124700209,0.4175674409202089,1.882520300180398,10.03045100660528,0.6271384576719281,0,
37,0.07600000000000005,-0.002522310879657982,-0.000994917468987254,0.41612125381199594,1.894279269248087,9.389808667646134,0.6330763234819563,0,
38,0.07800000000000006,-0.002579639975724537,-0.0010314260650147468,0.4146400388778935,1.9045165895706486,8.837471650125131,0.6390698210811162,0,
39,0.08000000000000006,-0.002630716568368007,-0.0010677947868748786,0.4131234692898027,1.9130457208013603,8.317095674673281,0.6451136673617524,0,
40,0.08200000000000006,-0.002676147065204269,-0.0011040510056432615,0.41157192129572523,1.9201090487126806,7.900154643750083,0.6512026964646849,0,
41,0.08400000000000006,-0.0027162639901150178,-0.0011401622055926233,0.40998488495018154,1.925927875981883,7.562793641419604,0.6573318605026957,0,
42,0.08600000000000006,-0.002751256947473581,-0.0011760894881015452,0.4083618964097844,1.9306962104478995,7.285700835372459,0.6634962297702911,0,
43,0.08800000000000006,-0.0027813666709162956,-0.0012117925717250028,0.40670254305803066,1.9345833146349294,7.0539059123999674,0.6696909925017661,0,
44,0.09000000000000007,-0.002806875616875462,-0.0012472315178111745,0.4050064584503113,1.9377362112280845,6.856143963147657,0.6759114542351226,0,
45,0.09200000000000007,-0.0028280992816649,-0.0012823681163500159,0.4032733169028041,1.9402820854092953,6.684126521821477,0.6821530368349158,0,
