step,source_step,contact_mode,qp_status,tracking_error_inf,tau_abs_max,max_friction_violation,max_swing_force_norm,FR_f_ref_x,FR_f_qp_x,FR_f_ref_y,FR_f_qp_y,FR_f_ref_z,FR_f_qp_z,FL_f_ref_x,FL_f_qp_x,FL_f_ref_y,FL_f_qp_y,FL_f_ref_z,FL_f_qp_z,RR_f_ref_x,RR_f_qp_x,RR_f_ref_y,RR_f_qp_y,RR_f_ref_z,RR_f_qp_z,RL_f_ref_x,RL_f_qp_x,RL_f_ref_y,RL_f_qp_y,RL_f_ref_z,RL_f_qp_z,FR_stance,FL_stance,RR_stance,RL_stance
57,57,FL_RR,solved,1.88490197545e-09,10.6762463869,0,4.6024642489e-37,-1.1341073017e-19,2.76950110902e-47,0,0,-1.88490197544e-09,4.6024642489e-37,-5.47138297667e-12,-5.47138297667e-12,0,0,63.9876172485,63.9876172485,-5.47820637068e-12,-5.47820637068e-12,0,0,63.9876172485,63.9876172485,-1.13410724132e-19,2.76950110902e-47,0,0,-1.88490197545e-09,4.6024642489e-37,False,True,True,False
58,58,FL_RR,solved,1.71747146865e-09,10.3961478321,0,4.42308896505e-37,6.7897534668e-21,-1.74849992858e-48,0,0,-1.71747146865e-09,4.42308896505e-37,-5.58253396506e-12,-5.58253396506e-12,0,0,62.3088587724,62.3088587724,-5.56281138581e-12,-5.56281138581e-12,0,0,62.3088587724,62.3088587724,6.78572575189e-21,-1.74736823687e-48,0,0,-1.71747146865e-09,4.42308896505e-37,False,True,True,False
59,59,FL_RR,solved,1.0986533216e-10,7.70866789111,0,5.14514995367e-38,-1.65892875228e-20,7.76896501981e-48,0,0,1.0986533216e-10,-5.14514995367e-38,-1.01749627246e-11,-1.01749627246e-11,0,0,46.2015649168,46.2015649168,-1.00851089009e-11,-1.00851089009e-11,0,0,46.2015649168,46.2015649168,-3.79780397987e-20,1.77840830679e-47,0,0,1.09865331568e-10,-5.1451498836e-38,False,True,True,False
60,60,FR_RL,solved,2.43308325476e-10,7.71257613635,0,1.1382073261e-37,-4.69055238693e-12,-4.69055238693e-12,0,0,46.2249888143,46.2249888143,-9.11291672699e-20,4.26227713283e-47,0,0,-2.43308324898e-10,1.1382073261e-37,-9.11291672699e-20,4.26227713283e-47,0,0,-2.43308325476e-10,1.1382073261e-37,-4.9729611536e-12,-4.9729611536e-12,0,0,46.2249888143,46.2249888143,True,False,False,True
61,61,FR_RL,solved,1.12338336283e-09,10.3597952899,0,2.91258756363e-37,-6.50024723127e-12,-6.50024723127e-12,0,0,62.0909813958,62.0909813958,1.8819411917e-19,-4.88011012141e-47,0,0,-1.12338336283e-09,2.91258756363e-37,1.8819411917e-19,-4.88011012141e-47,0,0,-1.12338336283e-09,2.91258756363e-37,-6.58910920275e-12,-6.58910920275e-12,0,0,62.0909813958,62.0909813958,True,False,False,True
62,62,FR_RL,solved,5.55096059102e-10,10.6655575248,0,1.35821763097e-37,-6.78454417659e-12,-6.78454417659e-12,0,0,63.9235540197,63.9235540197,-1.62438602423e-21,3.97453685024e-49,0,0,-5.55096059101e-10,1.35821763097e-37,-1.62438602423e-21,3.97453685024e-49,0,0,-5.55096059102e-10,1.35821763097e-37,-6.79639277561e-12,-6.79639277561e-12,0,0,63.9235540196,63.9235540196,True,False,False,True
63,63,FR_RL,solved,3.1549656907e-11,10.3124682743,0,8.25666547595e-39,-6.5603458237e-12,-6.5603458237e-12,0,0,61.807328991,61.807328991,-2.72447312653e-20,7.12982074573e-48,0,0,-3.1549656907e-11,8.25666547595e-39,-2.72447312653e-20,7.12982074573e-48,0,0,-3.15496569039e-11,8.25666547595e-39,-6.59543685576e-12,-6.59543685576e-12,0,0,61.807328991,61.807328991,True,False,False,True
64,64,FR_RL,solved,1.42872880085e-10,10.0234104915,0,3.95844665146e-38,-6.6014637723e-12,-6.6014637723e-12,0,0,60.0748737723,60.0748737723,6.05860793822e-19,-1.67846610408e-46,0,0,-1.42872880085e-10,3.9584465814e-38,6.05860793822e-19,-1.67846610408e-46,0,0,-1.42872880085e-10,3.95844665146e-38,-6.64986655e-12,-6.64986655e-12,0,0,60.0748737723,60.0748737723,True,False,False,True
65,65,FR_RL,solved,8.77573157838e-11,10.0230175861,0,2.43135709221e-38,-6.60805727796e-12,-6.60805727796e-12,0,0,60.0725189111,60.0725189111,-3.30616676394e-20,9.16049443581e-48,0,0,-8.77573157838e-11,2.43135709221e-38,-3.30616676394e-20,9.16049443581e-48,0,0,-8.77573157835e-11,2.43135709221e-38,-6.43031076193e-12,-6.43031076193e-12,0,0,60.0725189111,60.0725189111,True,False,False,True
66,66,FR_RL,solved,1.38950681555e-11,10.3078903803,0,3.6395292678e-39,-6.5440892996e-12,-6.5440892996e-12,0,0,61.7798915828,61.7798915828,-6.49739588559e-20,1.7020548383e-47,0,0,-1.38950681527e-11,3.6395292678e-39,-6.49739588559e-20,1.7020548383e-47,0,0,-1.38950681555e-11,3.6395292678e-39,-5.79853262841e-12,-5.79853262841e-12,0,0,61.7798915827,61.7798915827,True,False,False,True
67,67,FR_RL,solved,1.88613827944e-09,10.6781977232,0,4.60465246053e-37,-5.52856103235e-12,-5.52856103235e-12,0,0,63.9993124974,63.9993124974,-3.47385457478e-19,8.47975407006e-47,0,0,-1.88613827944e-09,4.60465246053e-37,-3.47385459765e-19,8.47975407006e-47,0,0,-1.88613827931e-09,4.60465246053e-37,-5.14747748934e-12,-5.14747748934e-12,0,0,63.9993124973,63.9993124973,True,False,False,True
68,68,FR_RL,solved,1.71811286313e-09,10.397803415,0,4.42290348918e-37,-5.55220846701e-12,-5.55220846701e-12,0,0,62.3187814363,62.3187814363,1.3790502616e-19,-3.5509082114e-47,0,0,-1.71811286313e-09,4.42290348918e-37,1.37928506196e-19,-3.5509080809e-47,0,0,-1.71811286313e-09,4.42290348918e-37,-5.26025704279e-12,-5.26025704279e-12,0,0,62.3187814363,62.3187814363,True,False,False,True
69,69,FR_RL,solved,1.09862699512e-10,7.70977603426,0,5.14266334954e-38,-1.0774820553e-11,-1.0774820553e-11,0,0,46.2082065245,46.2082065245,-3.49313277585e-19,1.63522531268e-46,0,0,1.09862699512e-10,-5.14266334954e-38,-3.64021727742e-19,1.70422771901e-46,0,0,1.09862699471e-10,-5.14266334954e-38,-1.0655638764e-11,-1.0655638764e-11,0,0,46.2082065245,46.2082065245,True,False,False,True
70,70,FL_RR,solved,2.23160758735e-10,7.71424732566,0,1.04365491541e-37,1.69382267138e-20,-7.92091599212e-48,0,0,-2.23160758492e-10,1.04365491541e-37,-4.67655048378e-12,-4.67655048378e-12,0,0,46.2350050145,46.2350050145,-4.65081259191e-12,-4.65081259191e-12,0,0,46.2350050145,46.2350050145,1.69382267137e-20,-7.92091607369e-48,0,0,-2.23160758735e-10,1.04365491541e-37,False,True,True,False
71,71,FL_RR,solved,1.12331677454e-09,10.3607908169,0,2.91230794854e-37,3.30207959889e-19,-8.562538585e-47,0,0,-1.12331677454e-09,2.91230794854e-37,-6.55024690831e-12,-6.55024690831e-12,0,0,62.096948043,62.096948043,-6.5304567247e-12,-6.5304567247e-12,0,0,62.096948043,62.096948043,3.30207959889e-19,-8.562538585e-47,0,0,-1.12331677454e-09,2.91230792051e-37,False,True,True,False
72,72,FL_RR,solved,5.55180534156e-10,10.6664348001,0,1.35810597551e-37,1.70673427361e-20,-4.17542552612e-48,0,0,-5.55180534155e-10,1.35810597551e-37,-6.79426180228e-12,-6.79426180228e-12,0,0,63.9288119306,63.9288119306,-6.78320106961e-12,-6.78320106961e-12,0,0,63.9288119306,63.9288119306,1.70673427361e-20,-4.17542552612e-48,0,0,-5.55180534156e-10,1.35810597551e-37,False,True,True,False
73,73,FL_RR,solved,3.15504129508e-11,10.3133641713,0,8.25594871179e-39,-4.22637970651e-19,1.10611387426e-46,0,0,-3.15504129508e-11,8.25594871179e-39,-6.60246203304e-12,-6.60246203304e-12,0,0,61.8126985107,61.8126985107,-6.57394918032e-12,-6.57394918032e-12,0,0,61.8126985107,61.8126985107,-4.22637970651e-19,1.10611387426e-46,0,0,-3.15504129485e-11,8.25594871179e-39,False,True,True,False
74,74,FL_RR,solved,1.42881895506e-10,10.0243111102,0,3.95809121211e-38,-7.69443792057e-20,2.13138293907e-47,0,0,-1.42881895504e-10,3.95809121211e-38,-6.59089599977e-12,-6.59089599977e-12,0,0,60.0802715909,60.0802715909,-6.66480892641e-12,-6.66480892641e-12,0,0,60.0802715909,60.0802715909,-7.69443792057e-20,2.13138293907e-47,0,0,-1.42881895506e-10,3.95809121211e-38,False,True,True,False
75,75,FL_RR,solved,8.77628188907e-11,10.02389243,0,2.4308088517e-38,-2.31234953315e-19,6.40505720131e-47,0,0,-8.77628188886e-11,2.4308088517e-38,-6.53074937303e-12,-6.53074937303e-12,0,0,60.0777622497,60.0777622497,-6.59032776486e-12,-6.59032776486e-12,0,0,60.0777622497,60.0777622497,-2.31234953315e-19,6.40505720131e-47,0,0,-8.77628188907e-11,2.4308088517e-38,False,True,True,False
76,76,FL_RR,solved,1.38970612174e-11,10.3087293011,0,3.63964180958e-39,1.08297919497e-20,-2.83614683312e-48,0,0,-1.38970612174e-11,3.63964176579e-39,-6.22254100613e-12,-6.22254100613e-12,0,0,61.7849196179,61.7849196179,-6.21259936954e-12,-6.21259936954e-12,0,0,61.7849196179,61.7849196179,1.08297919497e-20,-2.83614683312e-48,0,0,-1.38970612159e-11,3.63964180958e-39,False,True,True,False
77,77,FL_RR,solved,1.88664736611e-09,10.678998541,0,4.60430723664e-37,2.06309421799e-19,-5.0351743899e-47,0,0,-1.88664736611e-09,4.60430723664e-37,-5.08331810292e-12,-5.08331810292e-12,0,0,64.0041121641,64.0041121641,-5.09461499127e-12,-5.09461499127e-12,0,0,64.0041121641,64.0041121641,2.06309419382e-19,-5.0351743899e-47,0,0,-1.88664736611e-09,4.60430723664e-37,False,True,True,False
78,78,FL_RR,solved,1.71837986501e-09,10.3985254329,0,4.42311486105e-37,-2.28231085169e-19,5.87512606719e-47,0,0,-1.71837986501e-09,4.42311486105e-37,-5.15822258464e-12,-5.15822258464e-12,0,0,62.3231088191,62.3231088191,-5.16153836073e-12,-5.16153836073e-12,0,0,62.3231088191,62.3231088191,-2.28208634612e-19,5.87391901637e-47,0,0,-1.71837986501e-09,4.42311486105e-37,False,True,True,False
79,79,FL_RR,solved,1.09861693236e-10,7.71027428383,0,5.14320561702e-38,-5.58171453128e-20,2.61264407839e-47,0,0,1.09861693017e-10,-5.14320561702e-38,-1.12728660362e-11,-1.12728660362e-11,0,0,46.2111927616,46.2111927616,-1.13237176954e-11,-1.13237176954e-11,0,0,46.2111927616,46.2111927616,-3.96036672829e-20,1.85391149549e-47,0,0,1.09861693236e-10,-5.14233152207e-38,False,True,True,False
80,80,FR_RL,solved,2.23171509009e-10,7.71468830567,0,1.04342060429e-37,-4.60278589801e-12,-4.60278589801e-12,0,0,46.237648009,46.237648009,1.97319302389e-19,-9.22644576963e-47,0,0,-2.23171509009e-10,1.04342060429e-37,1.97319302389e-19,-9.22644576963e-47,0,0,-2.23171508575e-10,1.04342060429e-37,-4.53818129419e-12,-4.53818129419e-12,0,0,46.237648009,46.237648009,True,False,False,True
81,81,FR_RL,solved,1.12331831313e-09,10.3613585804,0,2.91162820668e-37,-6.62083666541e-12,-6.62083666541e-12,0,0,62.1003509089,62.1003509089,-8.77374758056e-20,2.27465934291e-47,0,0,-1.12331831313e-09,2.91162820668e-37,-8.77374758056e-20,2.27465934291e-47,0,0,-1.12331831311e-09,2.91162820668e-37,-6.30272568743e-12,-6.30272568743e-12,0,0,62.1003509089,62.1003509089,True,False,False,True
82,82,FR_RL,solved,5.55263627387e-10,10.6669833069,0,1.358288887e-37,-6.93587158768e-12,-6.93587158768e-12,0,0,63.9320993823,63.9320993823,-3.7558932067e-20,9.18869990124e-48,0,0,-5.55263627379e-10,1.358288887e-37,-3.7558932067e-20,9.18869990124e-48,0,0,-5.55263627387e-10,1.358288887e-37,-6.62323094738e-12,-6.62323094738e-12,0,0,63.9320993823,63.9320993823,True,False,False,True
83,83,FR_RL,solved,3.15512112102e-11,10.3138527897,0,8.25392418583e-39,-6.67358839499e-12,-6.67358839499e-12,0,0,61.8156270239,61.8156270239,1.90878191531e-19,-4.99370307836e-47,0,0,-3.15512112102e-11,8.25392418583e-39,1.90878191531e-19,-4.99370307836e-47,0,0,-3.15512112091e-11,8.25392418583e-39,-6.69019506174e-12,-6.69019506174e-12,0,0,61.8156270239,61.8156270239,True,False,False,True
84,84,FR_RL,solved,1.42885243098e-10,10.024744988,0,3.95724773553e-38,-6.63858609345e-12,-6.63858609345e-12,0,0,60.0828720191,60.0828720191,-4.69665667368e-19,1.30068191838e-46,0,0,-1.42885243098e-10,3.95724773553e-38,-4.69665667368e-19,1.30068191838e-46,0,0,-1.42885243098e-10,3.95724773553e-38,-6.64994280164e-12,-6.64994280164e-12,0,0,60.0828720191,60.0828720191,True,False,False,True
85,85,FR_RL,solved,8.77656726109e-11,10.0242881535,0,2.43104913936e-38,-6.54748561361e-12,-6.54748561361e-12,0,0,60.0801340015,60.0801340015,4.08991007802e-20,-1.13267137895e-47,0,0,-8.77656726028e-11,2.43104913936e-38,4.08991007802e-20,-1.13267137895e-47,0,0,-8.77656726109e-11,2.43104913936e-38,-6.51899289438e-12,-6.51899289438e-12,0,0,60.0801340015,60.0801340015,True,False,False,True
86,86,FR_RL,solved,1.38981634615e-11,10.3091018488,0,3.63951026269e-39,-6.41725136208e-12,-6.41725136208e-12,0,0,61.7871524666,61.7871524666,-4.6860500593e-19,1.2273320149e-46,0,0,-1.38981634615e-11,3.63951026269e-39,-4.6860500593e-19,1.2273320149e-46,0,0,-1.38981634587e-11,3.63951026269e-39,-5.65161172646e-12,-5.65161172646e-12,0,0,61.7871524666,61.7871524666,True,False,False,True
87,87,FR_RL,solved,1.88687507494e-09,10.679354582,0,4.60516337395e-37,-5.24407654575e-12,-5.24407654575e-12,0,0,64.0062460805,64.0062460805,1.61662760668e-19,-3.9456261299e-47,0,0,-1.88687507494e-09,4.60516337395e-37,1.61662761829e-19,-3.9456261299e-47,0,0,-1.88687507489e-09,4.60516337395e-37,-4.69387452151e-12,-4.69387452151e-12,0,0,64.0062460805,64.0062460805,True,False,False,True
88,88,FR_RL,solved,1.71849841918e-09,10.3988480168,0,4.42297770195e-37,-5.12145577195e-12,-5.12145577195e-12,0,0,62.3250422119,62.3250422119,-4.07399955862e-20,1.04875233379e-47,0,0,-1.71849841917e-09,4.42297770195e-37,-4.07636274022e-20,1.04920486365e-47,0,0,-1.71849841918e-09,4.42297770195e-37,-4.96359972764e-12,-4.96359972764e-12,0,0,62.3250422119,62.3250422119,True,False,False,True
89,89,FR_RL,solved,1.09861149734e-10,7.71049760513,0,5.1421828443e-38,-1.1956143214e-11,-1.1956143214e-11,0,0,46.2125312281,46.2125312281,4.9236806636e-20,-2.30460928324e-47,0,0,1.09861149734e-10,-5.1421828443e-38,1.12841806235e-19,-5.28127742246e-47,0,0,1.09861149202e-10,-5.1421828443e-38,-1.19259538887e-11,-1.19259538887e-11,0,0,46.2125312281,46.2125312281,True,False,False,True
90,90,FL_RR,solved,2.23176520073e-10,7.71488662287,0,1.04339381147e-37,4.49978722541e-19,-2.1038292602e-46,0,0,-2.23176519938e-10,1.04339381147e-37,-4.42075813628e-12,-4.42075813628e-12,0,0,46.2388366145,46.2388366145,-4.36956136648e-12,-4.36956136648e-12,0,0,46.2388366145,46.2388366145,4.49978722542e-19,-2.1038292602e-46,0,0,-2.23176520073e-10,1.04339381147e-37,False,True,True,False
91,91,FL_RR,solved,1.12331936539e-09,10.3616138098,0,2.91155648822e-37,1.87157724229e-20,-4.85230543203e-48,0,0,-1.12331936539e-09,2.91155648822e-37,-6.37375462439e-12,-6.37375462439e-12,0,0,62.1018806153,62.1018806153,-6.42511919654e-12,-6.42511919654e-12,0,0,62.1018806153,62.1018806152,1.87157724229e-20,-4.85230543203e-48,0,0,-1.12331936538e-09,2.91155648822e-37,False,True,True,False
92,92,FL_RR,solved,5.55300583829e-10,10.667229807,0,1.35825746989e-37,6.53924664237e-22,-1.59953833843e-49,0,0,-5.55300583829e-10,1.35825746989e-37,-6.75003401359e-12,-6.75003401359e-12,0,0,63.9335767698,63.9335767698,-6.77159535095e-12,-6.77159535095e-12,0,0,63.9335767698,63.9335767698,6.53924664237e-22,-1.59953833843e-49,0,0,-5.55300583825e-10,1.35825746989e-37,False,True,True,False
93,93,FL_RR,solved,3.15515599403e-11,10.3140723371,0,8.25538241205e-39,-1.96593077534e-19,5.14386743047e-47,0,0,-3.15515599373e-11,8.25538232447e-39,-6.65817141078e-12,-6.65817141078e-12,0,0,61.8169428712,61.8169428712,-6.64598657757e-12,-6.64598657757e-12,0,0,61.8169428712,61.8169428712,-1.96593077534e-19,5.14386743047e-47,0,0,-3.15515599403e-11,8.25538241205e-39,False,True,True,False
94,94,FL_RR,solved,1.42886564902e-10,10.0249399245,0,3.95717090934e-38,-4.39994335879e-20,1.21850501369e-47,0,0,-1.42886564902e-10,3.95717090934e-38,-6.62717582667e-12,-6.62717582667e-12,0,0,60.0840403625,60.0840403625,-6.63404322966e-12,-6.63404322966e-12,0,0,60.0840403625,60.0840403625,-4.39994335879e-20,1.21850501369e-47,0,0,-1.42886564901e-10,3.95717090934e-38,False,True,True,False
95,95,FL_RR,solved,8.77666254989e-11,10.0244659455,0,2.43100603191e-38,1.36951152737e-19,-3.79323961799e-47,0,0,-8.77666254989e-11,2.43066989544e-38,-6.63185738953e-12,-6.63185738953e-12,0,0,60.0811995899,60.0811995899,-6.63065161685e-12,-6.63065161685e-12,0,0,60.0811995899,60.0811995899,1.36951152737e-19,-3.79323961799e-47,0,0,-8.77666254984e-11,2.43100603191e-38,False,True,True,False
96,96,FL_RR,solved,1.38974798337e-11,10.3092692301,0,3.63945123299e-39,1.14851276534e-19,-3.00741361205e-47,0,0,-1.38974798337e-11,3.63945123299e-39,-6.05554456235e-12,-6.05554456235e-12,0,0,61.7881556587,61.7881556587,-6.05639830969e-12,-6.05639830969e-12,0,0,61.7881556587,61.7881556587,1.14851276534e-19,-3.00741361205e-47,0,0,-1.38974798335e-11,3.63904266691e-39,False,True,True,False
97,97,FL_RR,solved,1.88697638962e-09,10.6795145488,0,4.60408476649e-37,-3.86308738412e-20,9.42911226472e-48,0,0,-1.88697638962e-09,4.60408476649e-37,-4.69632714928e-12,-4.69632714928e-12,0,0,64.0072048342,64.0072048342,-4.69986979426e-12,-4.69986979426e-12,0,0,64.0072048342,64.0072048342,-3.86308757679e-20,9.42911234628e-48,0,0,-1.88697638962e-09,4.60408476649e-37,False,True,True,False
98,98,FL_RR,solved,1.71855187699e-09,10.3989929524,0,4.42291615692e-37,-7.76693743657e-21,1.99919399e-48,0,0,-1.71855187699e-09,4.42291615692e-37,-4.80025221305e-12,-4.80025221305e-12,0,0,62.3259108768,62.3259108768,-4.7791698026e-12,-4.7791698026e-12,0,0,62.3259108768,62.3259108768,-7.77031370955e-21,1.99994823363e-48,0,0,-1.71855187699e-09,4.42291615692e-37,False,True,True,False
99,99,FL_RR,solved,1.09861192243e-10,7.71059794261,0,5.14211596733e-38,-3.87766371384e-20,1.81498333981e-47,0,0,1.09861191615e-10,-5.14211596733e-38,-1.25205099062e-11,-1.25205099062e-11,0,0,46.2131325964,46.2131325964,-1.25195185897e-11,-1.25195185897e-11,0,0,46.2131325964,46.2131325964,-5.17131773321e-20,2.42011322454e-47,0,0,1.09861192243e-10,-5.14211596733e-38,False,True,True,False
