mode,target_scale,wbc_scale,kp,kd,num_knots,knot_hold_steps,total_steps,torque_limit,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p15,max_abs_pitch,pitch_margin_to_0p15,z_margin_to_0p22,max_tau_pd_abs,max_tau_wbc_abs,max_tau_total_abs,saturation_steps,max_joint_error,max_swing_joint_error,max_stance_joint_error,min_swing_foot_z,max_swing_foot_z,pass,pass_margin
trot_FR_RL,0.25,0.0,60.0,2.0,9,80,720,23.7,0.284805846483,0.276571118100,0.270531877762,0.284893289428,-0.008234728383,-0.001430520594,0.001733127161,0.054958576417,0.095041423583,0.036789337006,0.113210662994,0.050531877762,8.320611628149,0.000000000000,8.320611628149,0,0.046307819443,0.046307819443,0.038460784738,0.007720591022,0.035251183427,True,True
trot_FR_RL,0.25,0.0,60.0,4.0,9,80,720,23.7,0.284805846483,0.274739566406,0.263598360503,0.284908104082,-0.010066280077,-0.009719032848,0.009272151244,0.135534315797,0.014465684203,0.061513949369,0.088486050631,0.043598360503,16.604104744834,0.000000000000,16.604104744834,0,0.085028387512,0.082576950117,0.085028387512,0.007312381588,0.054509509239,True,True
trot_FR_RL,0.25,0.0,60.0,6.0,9,80,720,23.7,0.284805846483,0.267257639891,0.255331359819,0.284908104082,-0.017548206593,0.032562412098,-0.026637606607,0.062861891609,0.087138108391,0.049203050232,0.100796949768,0.035331359819,25.563119364709,0.000000000000,23.700000000000,51,0.159188607769,0.159188607769,0.111880386989,0.008481994116,0.037214615149,False,True
trot_FR_RL,0.25,0.0,80.0,2.0,9,80,720,23.7,0.284805846483,0.280268106018,0.274110189160,0.284894634312,-0.004537740465,0.007223364190,-0.006179659023,0.057977417501,0.092022582499,0.046838199387,0.103161800613,0.054110189160,9.089463121550,0.000000000000,9.089463121550,0,0.038826467292,0.038826467292,0.025805679080,0.009908977759,0.036374166219,True,True
trot_FR_RL,0.25,0.0,80.0,4.0,9,80,720,23.7,0.284805846483,0.277763292019,0.266338351260,0.284908026320,-0.007042554464,0.069205057650,-0.001284971198,0.069746826135,0.080253173865,0.058614311202,0.091385688798,0.046338351260,17.357552622072,0.000000000000,17.357552622072,0,0.078017453295,0.078017453295,0.063548521352,0.009564618783,0.043724293384,True,True
trot_FR_RL,0.25,0.0,80.0,6.0,9,80,720,23.7,0.284805846483,0.277626873962,0.259245382517,0.284908026320,-0.007178972522,0.047893482265,-0.005939551525,0.101801993507,0.048198006493,0.059278405542,0.090721594458,0.039245382517,26.516171535071,0.000000000000,23.700000000000,59,0.120270035531,0.120270035531,0.082559238563,0.007508146246,0.044293946617,False,True
trot_FR_RL,0.25,0.2,60.0,2.0,9,80,720,23.7,0.284805846483,0.287807251242,0.280099661454,0.287807251242,0.003001404759,0.027809264116,-0.033993968275,0.118346249648,0.031653750352,0.058165197139,0.091834802861,0.060099661454,11.177618252493,2.127663800548,11.177618252493,0,0.097998368201,0.097998368201,0.043628114812,0.010402439824,0.038832059631,True,True
trot_FR_RL,0.25,0.2,60.0,4.0,9,80,720,23.7,0.284805846483,0.280503262757,0.270855176273,0.284909434316,-0.004302583726,0.027627159355,-0.050172104260,0.106722768149,0.043277231851,0.057688244364,0.092311755636,0.050855176273,17.223406384584,2.127663800548,17.081703761361,0,0.105956706873,0.105956706873,0.053574837020,0.010434242941,0.046231261853,False,True
trot_FR_RL,0.25,0.2,60.0,6.0,9,80,720,23.7,0.284805846483,0.274206820299,0.262362795260,0.284909434316,-0.010599026184,0.105132300141,-0.022010611611,0.114726428818,0.035273571182,0.082227221510,0.067772778490,0.042362795260,25.302258179111,2.127663800548,23.700000000000,77,0.126628784227,0.126628784227,0.085601060159,0.010445425385,0.059199077323,False,True
trot_FR_RL,0.25,0.2,80.0,2.0,9,80,720,23.7,0.284805846483,0.281270913923,0.278791320473,0.287899192667,-0.003534932560,0.030330042066,-0.009882868709,0.110501200190,0.039498799810,0.059364125495,0.090635874505,0.058791320473,11.596030333317,2.127663800548,11.596030333317,0,0.080677435031,0.080677435031,0.035545390001,0.012083084023,0.039427726940,True,True
trot_FR_RL,0.25,0.2,80.0,4.0,9,80,720,23.7,0.284805846483,0.276401294034,0.270352084025,0.284909407870,-0.008404552449,0.009806125961,-0.016341641554,0.089102356332,0.060897643668,0.065787234474,0.084212765526,0.050352084025,18.148622320976,2.127663800548,17.358351929188,0,0.071285724636,0.071285724636,0.038942033911,0.007638800640,0.049329140995,True,True
trot_FR_RL,0.25,0.2,80.0,6.0,9,80,720,23.7,0.284805846483,0.276227487665,0.267465588091,0.284909407870,-0.008578358819,0.016192059427,-0.019012536331,0.091577275001,0.058422724999,0.063343432152,0.086656567848,0.047465588091,25.079153701528,2.127663800548,23.700000000000,63,0.123187713530,0.123187713530,0.071348233844,0.009154162212,0.045951499677,False,True
trot_FR_RL,0.25,0.4,60.0,2.0,9,80,720,23.7,0.284805846483,0.294780164959,0.283369738156,0.297023017210,0.009974318476,0.003116389021,-0.019943612457,0.162255102753,-0.012255102753,0.071911625001,0.078088374999,0.063369738156,13.093851826285,4.255327601096,11.472318921777,0,0.104736113583,0.104736113583,0.076511806191,0.007565755571,0.061291272176,False,False
trot_FR_RL,0.25,0.4,60.0,4.0,9,80,720,23.7,0.284805846483,0.282799287280,0.278135326596,0.290570426406,-0.002006559204,0.010250402241,-0.007111646707,0.164032346975,-0.014032346975,0.083151385490,0.066848614510,0.058135326596,19.448328297293,4.255327601096,17.309914456333,0,0.092304368651,0.092304368651,0.052330757470,0.011294672303,0.061804844026,False,False
trot_FR_RL,0.25,0.4,60.0,6.0,9,80,720,23.7,0.284805846483,0.285325158864,0.260896027854,0.285325158864,0.000519312381,0.123815811160,-0.054327742026,0.166535789345,-0.016535789345,0.069305323025,0.080694676975,0.040896027854,25.766780032374,4.255327601096,23.700000000000,85,0.151994280776,0.151994280776,0.057100014205,0.007328220517,0.054050889730,False,False
trot_FR_RL,0.25,0.4,80.0,2.0,9,80,720,23.7,0.284805846483,0.289024429071,0.281320023562,0.297650833290,0.004218582588,0.011447590648,-0.017278897541,0.119516757235,0.030483242765,0.081979194722,0.068020805278,0.061320023562,13.247704650951,4.255327601096,11.561337302701,0,0.078662374397,0.078662374397,0.062102694425,0.010191963106,0.062184563622,True,True
trot_FR_RL,0.25,0.4,80.0,4.0,9,80,720,23.7,0.284805846483,0.281880067085,0.276609670839,0.287606127890,-0.002925779398,-0.002192252125,-0.001804022040,0.134992003051,0.015007996949,0.076031486993,0.073968513007,0.056609670839,19.705833354962,4.255327601096,18.884917264209,0,0.104757200795,0.104757200795,0.046358601551,0.011532254905,0.052834609588,False,True
trot_FR_RL,0.25,0.4,80.0,6.0,9,80,720,23.7,0.284805846483,0.278858146112,0.269028618319,0.284909407870,-0.005947700371,0.077775440770,-0.018578836361,0.119088295534,0.030911704466,0.079179716663,0.070820283337,0.049028618319,27.961350590030,4.255327601096,23.700000000000,90,0.128204789764,0.128204789764,0.055580826019,0.011378414443,0.050405787289,False,True
trot_FR_RL,0.25,0.6,60.0,2.0,9,80,720,23.7,0.284805846483,0.298875344487,0.284805846483,0.300468427440,0.014069498004,0.068978632325,-0.040235815277,0.143530402989,0.006469597011,0.085826270758,0.064173729242,0.064805846483,14.142364308924,6.382991401645,11.445827359536,0,0.109496768981,0.100884472977,0.109496768981,0.008571670164,0.066455388170,False,True
